id_fuente,fila_extraida,id_operador,periodo,id_producto,canal,volumen_original_m3,unidad_original,cantidad_venta,unidad_venta,precio_promedio_con_impuestos_ars,precio_surtidor_ars,origen
F006134,6134,O008,2025-01-01,P006,Al público,8.04,m3,8040.00,L,1454.00,1454.00,real_con_conversion
F006135,6135,O008,2025-01-01,P002,Al público,49.68,m3,49680.00,L,1195.00,1195.00,real_con_conversion
F006136,6136,O008,2025-01-01,P003,Al público,17.04,m3,17040.00,L,1490.00,1490.00,real_con_conversion
F006137,6137,O008,2025-01-01,P007,Al público,60.88,m3,60880.00,L,1165.00,1165.00,real_con_conversion
F007910,7910,O001,2025-01-01,P004,Al público,4.19,m3,4190.00,L,1388.15,1400.00,real_con_conversion
F007911,7911,O001,2025-01-01,P003,Al público,113.73,m3,113730.00,L,1447.77,1479.00,real_con_conversion
F007912,7912,O001,2025-01-01,P002,Al público,55.66,m3,55660.00,L,1225.25,1251.00,real_con_conversion
F007913,7913,O001,2025-01-01,P001,Al público,78739.70,m3,78739.70,m3,639.00,639.00,real_con_conversion
F007914,7914,O001,2025-01-01,P007,Al público,308.13,m3,308130.00,L,1215.83,1241.00,real_con_conversion
F007917,7917,O001,2025-01-01,P006,Al público,172.92,m3,172920.00,L,1461.66,1493.00,real_con_conversion
F012063,12063,O014,2025-01-01,P003,Al público,30.25,m3,30250.00,L,1424.04,1429.00,real_con_conversion
F012064,12064,O014,2025-01-01,P002,Al público,46.52,m3,46520.00,L,1177.27,1179.00,real_con_conversion
F012065,12065,O014,2025-01-01,P001,Al público,81548.00,m3,81548.00,m3,493.49,494.90,real_con_conversion
F012066,12066,O014,2025-01-01,P004,Al público,1.37,m3,1370.00,L,1177.92,1179.00,real_con_conversion
F012067,12067,O014,2025-01-01,P006,Al público,43.04,m3,43040.00,L,1469.42,1470.00,real_con_conversion
F012068,12068,O014,2025-01-01,P007,Al público,166.49,m3,166490.00,L,1194.48,1195.00,real_con_conversion
F013157,13157,O017,2025-01-01,P004,Al público,2.51,m3,2510.00,L,1216.68,1237.00,real_con_conversion
F013158,13158,O017,2025-01-01,P007,Al público,133.04,m3,133040.00,L,1220.15,1222.00,real_con_conversion
F013159,13159,O017,2025-01-01,P002,Al público,189.13,m3,189130.00,L,1250.67,1237.00,real_con_conversion
F013160,13160,O017,2025-01-01,P006,Al público,47.79,m3,47790.00,L,1468.48,1446.00,real_con_conversion
F013162,13162,O017,2025-01-01,P003,Al público,113.54,m3,113540.00,L,1448.50,1444.00,real_con_conversion
F013164,13164,O017,2025-01-01,P001,Al público,57789.00,m3,57789.00,m3,698.90,699.00,real_con_conversion
F016145,16145,O003,2025-01-01,P007,Al público,125.52,m3,125520.00,L,1226.00,1226.00,real_con_conversion
F016146,16146,O003,2025-01-01,P006,Al público,56.36,m3,56360.00,L,1474.00,1474.00,real_con_conversion
F016147,16147,O003,2025-01-01,P002,Al público,103.64,m3,103640.00,L,1246.00,1246.00,real_con_conversion
F016148,16148,O003,2025-01-01,P003,Al público,143.62,m3,143620.00,L,1531.00,1531.00,real_con_conversion
F017196,17196,O016,2025-01-01,P002,Al público,82.10,m3,82100.00,L,1273.91,1270.00,real_con_conversion
F017197,17197,O016,2025-01-01,P006,Al público,13.49,m3,13490.00,L,1461.11,1463.00,real_con_conversion
F017198,17198,O016,2025-01-01,P007,Al público,65.76,m3,65760.00,L,1215.63,1217.00,real_con_conversion
F017199,17199,O016,2025-01-01,P003,Al público,18.41,m3,18410.00,L,1499.83,1499.00,real_con_conversion
F017437,17437,O004,2025-01-01,P007,Al público,208.83,m3,208830.00,L,1224.06,1226.00,real_con_conversion
F017439,17439,O004,2025-01-01,P002,Al público,41.93,m3,41930.00,L,1336.96,1340.00,real_con_conversion
F017440,17440,O004,2025-01-01,P006,Al público,28.71,m3,28710.00,L,1532.16,1536.00,real_con_conversion
F017441,17441,O004,2025-01-01,P003,Al público,19.74,m3,19740.00,L,1594.80,1598.00,real_con_conversion
F018449,18449,O009,2025-01-01,P006,Al público,6.15,m3,6150.00,L,1541.00,1541.00,real_con_conversion
F018454,18454,O009,2025-01-01,P003,Al público,4.33,m3,4330.00,L,1541.00,1541.00,real_con_conversion
F018456,18456,O009,2025-01-01,P007,Al público,33.25,m3,33250.00,L,1262.00,1262.00,real_con_conversion
F018457,18457,O009,2025-01-01,P002,Al público,55.33,m3,55330.00,L,1315.00,1315.00,real_con_conversion
F018552,18552,O007,2025-01-01,P002,Al público,107.35,m3,107350.00,L,1246.00,1246.00,real_con_conversion
F018553,18553,O007,2025-01-01,P003,Al público,68.27,m3,68270.00,L,1495.00,1495.00,real_con_conversion
F018554,18554,O007,2025-01-01,P006,Al público,24.67,m3,24670.00,L,1464.00,1464.00,real_con_conversion
F018555,18555,O007,2025-01-01,P007,Al público,219.73,m3,219730.00,L,1204.00,1204.00,real_con_conversion
F019145,19145,O011,2025-01-01,P002,Al público,253.52,m3,253520.00,L,1236.29,1237.00,real_con_conversion
F019146,19146,O011,2025-01-01,P007,Al público,287.41,m3,287410.00,L,1214.31,1216.00,real_con_conversion
F019148,19148,O011,2025-01-01,P006,Al público,156.95,m3,156950.00,L,1446.33,1459.00,real_con_conversion
F019149,19149,O011,2025-01-01,P003,Al público,246.10,m3,246100.00,L,1441.56,1444.00,real_con_conversion
F019150,19150,O011,2025-01-01,P001,Al público,104981.00,m3,104981.00,m3,678.74,699.00,real_con_conversion
F020381,20381,O012,2025-01-01,P007,Al público,276.27,m3,276270.00,L,1203.25,1204.00,real_con_conversion
F020382,20382,O012,2025-01-01,P006,Al público,118.47,m3,118470.00,L,1443.58,1444.00,real_con_conversion
F020383,20383,O012,2025-01-01,P004,Al público,163.29,m3,163290.00,L,620.81,630.00,real_con_conversion
F020384,20384,O012,2025-01-01,P002,Al público,789.87,m3,789870.00,L,1219.72,1225.00,real_con_conversion
F020458,20458,O005,2025-01-01,P002,Al público,76.75,m3,76750.00,L,1246.00,1246.00,real_con_conversion
F020459,20459,O005,2025-01-01,P003,Al público,73.70,m3,73700.00,L,1495.00,1495.00,real_con_conversion
F020460,20460,O005,2025-01-01,P006,Al público,48.79,m3,48790.00,L,1464.00,1464.00,real_con_conversion
F020461,20461,O005,2025-01-01,P007,Al público,187.75,m3,187750.00,L,1204.00,1204.00,real_con_conversion
F022125,22125,O015,2025-02-01,P001,Al público,71508.00,m3,71508.00,m3,484.90,484.90,real_con_conversion
F022126,22126,O015,2025-02-01,P003,Al público,30.61,m3,30610.00,L,1440.92,1441.00,real_con_conversion
F022127,22127,O015,2025-02-01,P006,Al público,64.97,m3,64970.00,L,1474.94,1475.00,real_con_conversion
F022128,22128,O015,2025-02-01,P005,Al público,167.96,m3,167960.00,L,1204.98,1205.00,real_con_conversion
F022129,22129,O015,2025-02-01,P002,Al público,54.45,m3,54450.00,L,1191.00,1191.00,real_con_conversion
F024702,24702,O018,2025-02-01,P006,Al público,9.00,m3,9000.00,L,1568.00,1569.00,real_con_conversion
F024703,24703,O018,2025-02-01,P002,Al público,39.00,m3,39000.00,L,1348.00,1349.00,real_con_conversion
F024704,24704,O018,2025-02-01,P005,Al público,21.00,m3,21000.00,L,1278.00,1279.00,real_con_conversion
F024705,24705,O018,2025-02-01,P003,Al público,26.00,m3,26000.00,L,1628.00,1629.00,real_con_conversion
F024957,24957,O002,2025-02-01,P002,Al público,18.39,m3,18390.00,L,1341.00,1341.00,real_con_conversion
F024958,24958,O002,2025-02-01,P003,Al público,59.34,m3,59340.00,L,1599.00,1599.00,real_con_conversion
F024959,24959,O002,2025-02-01,P006,Al público,84.28,m3,84280.00,L,1567.00,1567.00,real_con_conversion
F024960,24960,O002,2025-02-01,P007,Al público,187.55,m3,187550.00,L,1289.00,1289.00,real_con_conversion
F026584,26584,O013,2025-02-01,P002,Al público,10.51,m3,10510.00,L,1341.00,1341.00,real_con_conversion
F026585,26585,O013,2025-02-01,P003,Al público,15.98,m3,15980.00,L,1599.00,1599.00,real_con_conversion
F026586,26586,O013,2025-02-01,P006,Al público,32.98,m3,32980.00,L,1567.00,1567.00,real_con_conversion
F026587,26587,O013,2025-02-01,P007,Al público,119.28,m3,119280.00,L,1289.00,1289.00,real_con_conversion
F027099,27099,O010,2025-02-01,P001,Al público,94624.00,m3,94624.00,m3,562.57,562.57,real_con_conversion
F027100,27100,O010,2025-02-01,P006,Al público,30.05,m3,30050.00,L,1457.00,1457.00,real_con_conversion
F027101,27101,O010,2025-02-01,P003,Al público,57.72,m3,57720.00,L,1425.00,1425.00,real_con_conversion
F027102,27102,O010,2025-02-01,P007,Al público,201.40,m3,201400.00,L,1190.00,1190.00,real_con_conversion
F027103,27103,O010,2025-02-01,P002,Al público,30.80,m3,30800.00,L,1175.15,1175.15,real_con_conversion
F027774,27774,O006,2025-02-01,P004,Al público,1.82,m3,1820.00,L,1237.00,1237.00,real_con_conversion
F027775,27775,O006,2025-02-01,P006,Al público,69.29,m3,69290.00,L,1496.00,1496.00,real_con_conversion
F027776,27776,O006,2025-02-01,P007,Al público,293.90,m3,293900.00,L,1247.00,1247.00,real_con_conversion
F027777,27777,O006,2025-02-01,P003,Al público,110.42,m3,110420.00,L,1473.00,1473.00,real_con_conversion
F027778,27778,O006,2025-02-01,P002,Al público,110.38,m3,110380.00,L,1261.90,1262.00,real_con_conversion
F027779,27779,O006,2025-02-01,P001,Al público,124890.00,m3,124890.00,m3,842.40,849.00,real_con_conversion
F028036,28036,O008,2025-02-01,P002,Al público,39.50,m3,39500.00,L,1271.91,1271.00,real_con_conversion
F028037,28037,O008,2025-02-01,P006,Al público,9.64,m3,9640.00,L,1485.94,1497.00,real_con_conversion
F028038,28038,O008,2025-02-01,P003,Al público,13.28,m3,13280.00,L,1541.28,1545.00,real_con_conversion
F028039,28039,O008,2025-02-01,P007,Al público,55.58,m3,55580.00,L,1257.50,1258.00,real_con_conversion
F029823,29823,O001,2025-02-01,P001,Al público,76233.80,m3,76233.80,m3,655.69,659.00,real_con_conversion
F029824,29824,O001,2025-02-01,P007,Al público,295.35,m3,295350.00,L,1241.02,1266.00,real_con_conversion
F029825,29825,O001,2025-02-01,P006,Al público,158.75,m3,158750.00,L,1492.96,1523.00,real_con_conversion
F029826,29826,O001,2025-02-01,P003,Al público,97.36,m3,97360.00,L,1479.01,1508.00,real_con_conversion
F029827,29827,O001,2025-02-01,P002,Al público,55.91,m3,55910.00,L,1250.92,1276.00,real_con_conversion
F029831,29831,O001,2025-02-01,P004,Al público,2.58,m3,2580.00,L,1400.00,1400.00,real_con_conversion
F033962,33962,O014,2025-02-01,P006,Al público,38.65,m3,38650.00,L,1500.15,1529.00,real_con_conversion
F033963,33963,O014,2025-02-01,P004,Al público,89,m3,89000,L,1203.01,1226.00,real_con_conversion
F033964,33964,O014,2025-02-01,P001,Al público,72631.00,m3,72631.00,m3,494.90,494.90,real_con_conversion
F033965,33965,O014,2025-02-01,P002,Al público,36.71,m3,36710.00,L,1201.06,1226.00,real_con_conversion
F033966,33966,O014,2025-02-01,P007,Al público,149.39,m3,149390.00,L,1219.05,1243.00,real_con_conversion
F033967,33967,O014,2025-02-01,P003,Al público,24.53,m3,24530.00,L,1456.96,1486.00,real_con_conversion
F035055,35055,O017,2025-02-01,P007,Al público,131.54,m3,131540.00,L,1246.97,1247.00,real_con_conversion
F035056,35056,O017,2025-02-01,P001,Al público,43360.00,m3,43360.00,m3,699.00,699.00,real_con_conversion
F035061,35061,O017,2025-02-01,P004,Al público,2.51,m3,2510.00,L,1271.80,1262.00,real_con_conversion
F035062,35062,O017,2025-02-01,P006,Al público,46.45,m3,46450.00,L,1499.69,1496.00,real_con_conversion
F035063,35063,O017,2025-02-01,P002,Al público,163.61,m3,163610.00,L,1275.30,1262.00,real_con_conversion
F035064,35064,O017,2025-02-01,P003,Al público,105.66,m3,105660.00,L,1476.60,1473.00,real_con_conversion
F037940,37940,O003,2025-02-01,P006,Al público,13.57,m3,13570.00,L,1504.00,1504.00,real_con_conversion
F037941,37941,O003,2025-02-01,P005,Al público,131.54,m3,131540.00,L,1251.00,1251.00,real_con_conversion
F037942,37942,O003,2025-02-01,P002,Al público,162.54,m3,162540.00,L,1271.00,1271.00,real_con_conversion
F037943,37943,O003,2025-02-01,P003,Al público,34.07,m3,34070.00,L,1531.00,1531.00,real_con_conversion
F039003,39003,O016,2025-02-01,P003,Al público,19.96,m3,19960.00,L,1528.00,1528.00,real_con_conversion
F039004,39004,O016,2025-02-01,P002,Al público,78.65,m3,78650.00,L,1294.85,1295.00,real_con_conversion
F039005,39005,O016,2025-02-01,P006,Al público,13.18,m3,13180.00,L,1489.67,1493.00,real_con_conversion
F039006,39006,O016,2025-02-01,P007,Al público,60.20,m3,60200.00,L,1239.85,1241.00,real_con_conversion
F039229,39229,O004,2025-02-01,P007,Al público,187.66,m3,187660.00,L,1250.64,1251.00,real_con_conversion
F039230,39230,O004,2025-02-01,P006,Al público,21.11,m3,21110.00,L,1566.55,1567.00,real_con_conversion
F039232,39232,O004,2025-02-01,P002,Al público,36.86,m3,36860.00,L,1365.80,1366.00,real_con_conversion
F039233,39233,O004,2025-02-01,P003,Al público,24.16,m3,24160.00,L,1629.69,1630.00,real_con_conversion
F040239,40239,O009,2025-02-01,P002,Al público,49.38,m3,49380.00,L,1341.00,1341.00,real_con_conversion
F040240,40240,O009,2025-02-01,P003,Al público,3.23,m3,3230.00,L,1599.00,1599.00,real_con_conversion
F040241,40241,O009,2025-02-01,P006,Al público,5.26,m3,5260.00,L,1567.00,1567.00,real_con_conversion
F040246,40246,O009,2025-02-01,P007,Al público,35.10,m3,35100.00,L,1289.00,1289.00,real_con_conversion
F040343,40343,O007,2025-02-01,P003,Al público,62.49,m3,62490.00,L,1531.00,1531.00,real_con_conversion
F040344,40344,O007,2025-02-01,P006,Al público,19.75,m3,19750.00,L,1494.00,1494.00,real_con_conversion
F040345,40345,O007,2025-02-01,P007,Al público,205.60,m3,205600.00,L,1229.00,1229.00,real_con_conversion
F040346,40346,O007,2025-02-01,P002,Al público,104.43,m3,104430.00,L,1271.00,1271.00,real_con_conversion
F040929,40929,O011,2025-02-01,P001,Al público,92220.20,m3,92220.20,m3,699.00,699.00,real_con_conversion
F040932,40932,O011,2025-02-01,P006,Al público,143.04,m3,143040.00,L,1477.04,1489.00,real_con_conversion
F040935,40935,O011,2025-02-01,P007,Al público,254.69,m3,254690.00,L,1240.48,1241.00,real_con_conversion
F040937,40937,O011,2025-02-01,P002,Al público,250.65,m3,250650.00,L,1261.91,1262.00,real_con_conversion
F040938,40938,O011,2025-02-01,P003,Al público,229.51,m3,229510.00,L,1471.70,1473.00,real_con_conversion
F042187,42187,O012,2025-02-01,P007,Al público,258.08,m3,258080.00,L,1229.34,1229.00,real_con_conversion
F042188,42188,O012,2025-02-01,P003,Al público,308.60,m3,308600.00,L,1459.06,1459.00,real_con_conversion
F042189,42189,O012,2025-02-01,P006,Al público,114.72,m3,114720.00,L,1473.44,1473.00,real_con_conversion
F042192,42192,O012,2025-02-01,P002,Al público,730.76,m3,730760.00,L,1247.01,1250.00,real_con_conversion
F042266,42266,O005,2025-02-01,P002,Al público,72.92,m3,72920.00,L,1271.00,1271.00,real_con_conversion
F042267,42267,O005,2025-02-01,P003,Al público,67.84,m3,67840.00,L,1525.00,1525.00,real_con_conversion
F042268,42268,O005,2025-02-01,P007,Al público,184.99,m3,184990.00,L,1229.00,1229.00,real_con_conversion
F042269,42269,O005,2025-02-01,P006,Al público,48.48,m3,48480.00,L,1494.00,1494.00,real_con_conversion
F043930,43930,O015,2025-03-01,P006,Al público,73.92,m3,73920.00,L,1503.94,1504.00,real_con_conversion
F043931,43931,O015,2025-03-01,P003,Al público,38.93,m3,38930.00,L,1468.94,1469.00,real_con_conversion
F043932,43932,O015,2025-03-01,P002,Al público,59.72,m3,59720.00,L,1215.00,1215.00,real_con_conversion
F043933,43933,O015,2025-03-01,P001,Al público,85237.00,m3,85237.00,m3,505.52,509.00,real_con_conversion
F043934,43934,O015,2025-03-01,P005,Al público,199.66,m3,199660.00,L,1228.98,1229.00,real_con_conversion
F046524,46524,O018,2025-03-01,P005,Al público,17.83,m3,17830.00,L,1308.00,1309.00,real_con_conversion
F046525,46525,O018,2025-03-01,P006,Al público,10.51,m3,10510.00,L,1599.00,1599.00,real_con_conversion
F046526,46526,O018,2025-03-01,P002,Al público,28.67,m3,28670.00,L,1386.00,1389.00,real_con_conversion
F046527,46527,O018,2025-03-01,P003,Al público,25.34,m3,25340.00,L,1658.00,1659.00,real_con_conversion
F046778,46778,O002,2025-03-01,P007,Al público,202.60,m3,202600.00,L,1314.00,1314.00,real_con_conversion
F046779,46779,O002,2025-03-01,P006,Al público,87.16,m3,87160.00,L,1592.00,1592.00,real_con_conversion
F046780,46780,O002,2025-03-01,P002,Al público,15.93,m3,15930.00,L,1359.00,1314.00,real_con_conversion
F046781,46781,O002,2025-03-01,P003,Al público,58.58,m3,58580.00,L,1636.00,1636.00,real_con_conversion
F048391,48391,O013,2025-03-01,P003,Al público,16.65,m3,16650.00,L,1632.00,1632.00,real_con_conversion
F048392,48392,O013,2025-03-01,P002,Al público,12.22,m3,12220.00,L,1372.00,1372.00,real_con_conversion
F048393,48393,O013,2025-03-01,P006,Al público,37.66,m3,37660.00,L,1595.00,1595.00,real_con_conversion
F048394,48394,O013,2025-03-01,P007,Al público,132.90,m3,132900.00,L,1314.00,1314.00,real_con_conversion
F048904,48904,O010,2025-03-01,P001,Al público,110.78,m3,110.78,m3,569.00,569.00,real_con_conversion
F048905,48905,O010,2025-03-01,P006,Al público,73.06,m3,73060.00,L,1485.00,1485.00,real_con_conversion
F048906,48906,O010,2025-03-01,P002,Al público,39.58,m3,39580.00,L,1198.00,1198.00,real_con_conversion
F048907,48907,O010,2025-03-01,P007,Al público,232.16,m3,232160.00,L,1273.00,1273.00,real_con_conversion
F048908,48908,O010,2025-03-01,P003,Al público,38.52,m3,38520.00,L,1453.00,1453.00,real_con_conversion
F049587,49587,O006,2025-03-01,P002,Al público,129.56,m3,129560.00,L,1285.91,1286.00,real_con_conversion
F049588,49588,O006,2025-03-01,P003,Al público,95.49,m3,95490.00,L,1500.98,1501.00,real_con_conversion
F049589,49589,O006,2025-03-01,P007,Al público,321.48,m3,321480.00,L,1270.97,1271.00,real_con_conversion
F049590,49590,O006,2025-03-01,P006,Al público,70.64,m3,70640.00,L,1524.99,1525.00,real_con_conversion
F049591,49591,O006,2025-03-01,P004,Al público,2.38,m3,2380.00,L,1274.10,1286.00,real_con_conversion
F049592,49592,O006,2025-03-01,P001,Al público,139200.00,m3,139200.00,m3,849.00,849.00,real_con_conversion
F049850,49850,O008,2025-03-01,P002,Al público,37.17,m3,37170.00,L,1299.94,1300.00,real_con_conversion
F049851,49851,O008,2025-03-01,P007,Al público,57.87,m3,57870.00,L,1281.61,1282.00,real_con_conversion
F049852,49852,O008,2025-03-01,P003,Al público,12.99,m3,12990.00,L,1586.00,1586.00,real_con_conversion
F049853,49853,O008,2025-03-01,P006,Al público,6.43,m3,6430.00,L,1533.78,1543.00,real_con_conversion
F051628,51628,O001,2025-03-01,P001,Al público,83994.70,m3,83994.70,m3,659.00,659.00,real_con_conversion
F051629,51629,O001,2025-03-01,P006,Al público,170.33,m3,170330.00,L,1522.99,1551.00,real_con_conversion
F051630,51630,O001,2025-03-01,P007,Al público,318.20,m3,318200.00,L,1265.99,1290.00,real_con_conversion
F051631,51631,O001,2025-03-01,P002,Al público,49.26,m3,49260.00,L,1276.53,1300.00,real_con_conversion
F051632,51632,O001,2025-03-01,P004,Al público,4.15,m3,4150.00,L,1400.00,1400.00,real_con_conversion
F051633,51633,O001,2025-03-01,P003,Al público,115.66,m3,115660.00,L,1508.05,1536.00,real_con_conversion
F055766,55766,O014,2025-03-01,P001,Al público,84093.00,m3,84093.00,m3,478.55,514.90,real_con_conversion
F055767,55767,O014,2025-03-01,P006,Al público,44.89,m3,44890.00,L,1409.02,1529.00,real_con_conversion
F055768,55768,O014,2025-03-01,P003,Al público,36.51,m3,36510.00,L,1179.84,1486.00,real_con_conversion
F055769,55769,O014,2025-03-01,P007,Al público,174.03,m3,174030.00,L,1142.70,1243.00,real_con_conversion
F055770,55770,O014,2025-03-01,P004,Al público,2.04,m3,2040.00,L,793.26,1226.00,real_con_conversion
F055771,55771,O014,2025-03-01,P002,Al público,46.51,m3,46510.00,L,1177.52,1226.00,real_con_conversion
F056863,56863,O017,2025-03-01,P002,Al público,152.82,m3,152820.00,L,1300.15,1286.00,real_con_conversion
F056865,56865,O017,2025-03-01,P006,Al público,45.18,m3,45180.00,L,1524.07,1525.00,real_con_conversion
F056868,56868,O017,2025-03-01,P001,Al público,57078.00,m3,57078.00,m3,722.34,750.00,real_con_conversion
F056869,56869,O017,2025-03-01,P007,Al público,138.73,m3,138730.00,L,1266.16,1271.00,real_con_conversion
F056870,56870,O017,2025-03-01,P004,Al público,3.55,m3,3550.00,L,1285.67,1262.00,real_con_conversion
F056872,56872,O017,2025-03-01,P003,Al público,107.74,m3,107740.00,L,1503.85,1501.00,real_con_conversion
F059778,59778,O003,2025-03-01,P006,Al público,6.78,m3,6780.00,L,1533.00,1533.00,real_con_conversion
F059779,59779,O003,2025-03-01,P003,Al público,33.95,m3,33950.00,L,1566.00,1566.00,real_con_conversion
F059780,59780,O003,2025-03-01,P002,Al público,204.45,m3,204450.00,L,1300.00,1300.00,real_con_conversion
F059781,59781,O003,2025-03-01,P007,Al público,119.87,m3,119870.00,L,1275.00,1275.00,real_con_conversion
F060850,60850,O016,2025-03-01,P007,Al público,63.89,m3,63890.00,L,1265.51,1266.00,real_con_conversion
F060851,60851,O016,2025-03-01,P002,Al público,83.58,m3,83580.00,L,1319.61,1320.00,real_con_conversion
F060852,60852,O016,2025-03-01,P003,Al público,20.58,m3,20580.00,L,1557.59,1559.00,real_con_conversion
F060853,60853,O016,2025-03-01,P006,Al público,11.33,m3,11330.00,L,1522.67,1523.00,real_con_conversion
F061073,61073,O004,2025-03-01,P007,Al público,130.84,m3,130840.00,L,1274.41,1275.00,real_con_conversion
F061075,61075,O004,2025-03-01,P002,Al público,39.53,m3,39530.00,L,1396.70,1397.00,real_con_conversion
F061076,61076,O004,2025-03-01,P006,Al público,19.05,m3,19050.00,L,1597.21,1598.00,real_con_conversion
F061079,61079,O004,2025-03-01,P003,Al público,24.35,m3,24350.00,L,1651.28,1635.00,real_con_conversion
F062093,62093,O009,2025-03-01,P002,Al público,58.62,m3,58620.00,L,1341.00,1341.00,real_con_conversion
F062095,62095,O009,2025-03-01,P006,Al público,4.25,m3,4250.00,L,1567.00,1567.00,real_con_conversion
F062096,62096,O009,2025-03-01,P003,Al público,4.39,m3,4390.00,L,1599.00,1599.00,real_con_conversion
F062098,62098,O009,2025-03-01,P007,Al público,38.12,m3,38120.00,L,1289.00,1289.00,real_con_conversion
F062195,62195,O007,2025-03-01,P006,Al público,23.76,m3,23760.00,L,1523.00,1523.00,real_con_conversion
F062196,62196,O007,2025-03-01,P002,Al público,110.77,m3,110770.00,L,1300.00,1300.00,real_con_conversion
F062197,62197,O007,2025-03-01,P003,Al público,74.46,m3,74460.00,L,1566.00,1566.00,real_con_conversion
F062198,62198,O007,2025-03-01,P007,Al público,235.94,m3,235940.00,L,1252.00,1252.00,real_con_conversion
F062782,62782,O011,2025-03-01,P001,Al público,94855.90,m3,94855.90,m3,699.00,699.00,real_con_conversion
F062784,62784,O011,2025-03-01,P007,Al público,243.46,m3,243460.00,L,1264.29,1265.00,real_con_conversion
F062785,62785,O011,2025-03-01,P002,Al público,247.08,m3,247080.00,L,1285.68,1286.00,real_con_conversion
F062790,62790,O011,2025-03-01,P006,Al público,134.98,m3,134980.00,L,1505.05,1518.00,real_con_conversion
F062791,62791,O011,2025-03-01,P003,Al público,255.57,m3,255570.00,L,1499.00,1501.00,real_con_conversion
F064040,64040,O012,2025-03-01,P003,Al público,309.82,m3,309820.00,L,1485.94,1487.00,real_con_conversion
F064041,64041,O012,2025-03-01,P002,Al público,762.94,m3,762940.00,L,1271.51,1274.00,real_con_conversion
F064043,64043,O012,2025-03-01,P006,Al público,128.54,m3,128540.00,L,1501.69,1501.00,real_con_conversion
F064045,64045,O012,2025-03-01,P007,Al público,282.69,m3,282690.00,L,1252.37,1252.00,real_con_conversion
F064118,64118,O005,2025-03-01,P002,Al público,79.59,m3,79590.00,L,1300.00,1300.00,real_con_conversion
F064119,64119,O005,2025-03-01,P005,Al público,208.94,m3,208940.00,L,1252.00,1252.00,real_con_conversion
