id_fuente,unidad,cantidad_fuente,cantidad_pedidos,diferencia_cantidad,importe_fuente_ars,importe_pedidos_ars,diferencia_importe_ars
F024704,L,21000.00,21000.00,0.00,26838000.0000,26838000.0000,0.0000
F024705,L,26000.00,26000.00,0.00,42328000.0000,42328000.0000,0.0000
F024957,L,18390.00,18390.00,0.00,24660990.0000,24660990.0000,0.0000
F024958,L,59340.00,59340.00,0.00,94884660.0000,94884660.0000,0.0000
F024959,L,84280.00,84280.00,0.00,132066760.0000,132066760.0000,0.0000
F024960,L,187550.00,187550.00,0.00,241751950.0000,241751950.0000,0.0000
F026584,L,10510.00,10510.00,0.00,14093910.0000,14093910.0000,0.0000
F026585,L,15980.00,15980.00,0.00,25552020.0000,25552020.0000,0.0000
F026586,L,32980.00,32980.00,0.00,51679660.0000,51679660.0000,0.0000
F026587,L,119280.00,119280.00,0.00,153751920.0000,153751920.0000,0.0000
F027099,m3,94624.00,94624.00,0.00,53232623.6800,53232623.6800,0.0000
F027100,L,30050.00,30050.00,0.00,43782850.0000,43782850.0000,0.0000
F027101,L,57720.00,57720.00,0.00,82251000.0000,82251000.0000,0.0000
F027102,L,201400.00,201400.00,0.00,239666000.0000,239666000.0000,0.0000
F027103,L,30800.00,30800.00,0.00,36194620.0000,36194620.0000,0.0000
F027774,L,1820.00,1820.00,0.00,2251340.0000,2251340.0000,0.0000
F027775,L,69290.00,69290.00,0.00,103657840.0000,103657840.0000,0.0000
F027776,L,293900.00,293900.00,0.00,366493300.0000,366493300.0000,0.0000
F027777,L,110420.00,110420.00,0.00,162648660.0000,162648660.0000,0.0000
F027778,L,110380.00,110380.00,0.00,139288522.0000,139288522.0000,0.0000
F027779,m3,124890.00,124890.00,0.00,105207336.0000,105207336.0000,0.0000
F028036,L,39500.00,39500.00,0.00,50240445.0000,50240445.0000,0.0000
F028037,L,9640.00,9640.00,0.00,14324461.6000,14324461.6000,0.0000
F028038,L,13280.00,13280.00,0.00,20468198.4000,20468198.4000,0.0000
F028039,L,55580.00,55580.00,0.00,69891850.0000,69891850.0000,0.0000
F029823,m3,76233.80,76233.80,0.00,49985740.3220,49985740.3220,0.0000
F029824,L,295350.00,295350.00,0.00,366535257.0000,366535257.0000,0.0000
F029825,L,158750.00,158750.00,0.00,237007400.0000,237007400.0000,0.0000
F029826,L,97360.00,97360.00,0.00,143996413.6000,143996413.6000,0.0000
F029827,L,55910.00,55910.00,0.00,69938937.2000,69938937.2000,0.0000
F029831,L,2580.00,2580.00,0.00,3612000.0000,3612000.0000,0.0000
F033962,L,38650.00,38650.00,0.00,57980797.5000,57980797.5000,0.0000
F033963,L,89000,89000,0,107067890.00,107067890.00,0.00
F033964,m3,72631.00,72631.00,0.00,35945081.9000,35945081.9000,0.0000
F033965,L,36710.00,36710.00,0.00,44090912.6000,44090912.6000,0.0000
F033966,L,149390.00,149390.00,0.00,182113879.5000,182113879.5000,0.0000
F033967,L,24530.00,24530.00,0.00,35739228.8000,35739228.8000,0.0000
F035055,L,131540.00,131540.00,0.00,164026433.8000,164026433.8000,0.0000
F035056,m3,43360.00,43360.00,0.00,30308640.0000,30308640.0000,0.0000
F035061,L,2510.00,2510.00,0.00,3192218.0000,3192218.0000,0.0000
F035062,L,46450.00,46450.00,0.00,69660600.5000,69660600.5000,0.0000
F035063,L,163610.00,163610.00,0.00,208651833.0000,208651833.0000,0.0000
F035064,L,105660.00,105660.00,0.00,156017556.0000,156017556.0000,0.0000
F037940,L,13570.00,13570.00,0.00,20409280.0000,20409280.0000,0.0000
F037941,L,131540.00,131540.00,0.00,164556540.0000,164556540.0000,0.0000
F037942,L,162540.00,162540.00,0.00,206588340.0000,206588340.0000,0.0000
F037943,L,34070.00,34070.00,0.00,52161170.0000,52161170.0000,0.0000
F039003,L,19960.00,19960.00,0.00,30498880.0000,30498880.0000,0.0000
F039004,L,78650.00,78650.00,0.00,101839952.5000,101839952.5000,0.0000
F039005,L,13180.00,13180.00,0.00,19633850.6000,19633850.6000,0.0000
F039006,L,60200.00,60200.00,0.00,74638970.0000,74638970.0000,0.0000
F039229,L,187660.00,187660.00,0.00,234695102.4000,234695102.4000,0.0000
F039230,L,21110.00,21110.00,0.00,33069870.5000,33069870.5000,0.0000
F039232,L,36860.00,36860.00,0.00,50343388.0000,50343388.0000,0.0000
F039233,L,24160.00,24160.00,0.00,39373310.4000,39373310.4000,0.0000
F040239,L,49380.00,49380.00,0.00,66218580.0000,66218580.0000,0.0000
F040240,L,3230.00,3230.00,0.00,5164770.0000,5164770.0000,0.0000
F040241,L,5260.00,5260.00,0.00,8242420.0000,8242420.0000,0.0000
F040246,L,35100.00,35100.00,0.00,45243900.0000,45243900.0000,0.0000
F040343,L,62490.00,62490.00,0.00,95672190.0000,95672190.0000,0.0000
F040344,L,19750.00,19750.00,0.00,29506500.0000,29506500.0000,0.0000
F040345,L,205600.00,205600.00,0.00,252682400.0000,252682400.0000,0.0000
F040346,L,104430.00,104430.00,0.00,132730530.0000,132730530.0000,0.0000
F040929,m3,92220.20,92220.20,0.00,64461919.8000,64461919.8000,0.0000
F040932,L,143040.00,143040.00,0.00,211275801.6000,211275801.6000,0.0000
F040935,L,254690.00,254690.00,0.00,315937851.2000,315937851.2000,0.0000
F040937,L,250650.00,250650.00,0.00,316297741.5000,316297741.5000,0.0000
F040938,L,229510.00,229510.00,0.00,337769867.0000,337769867.0000,0.0000
F042187,L,258080.00,258080.00,0.00,317268067.2000,317268067.2000,0.0000
F042188,L,308600.00,308600.00,0.00,450265916.0000,450265916.0000,0.0000
F042189,L,114720.00,114720.00,0.00,169033036.8000,169033036.8000,0.0000
F042192,L,730760.00,730760.00,0.00,911265027.6000,911265027.6000,0.0000
F042266,L,72920.00,72920.00,0.00,92681320.0000,92681320.0000,0.0000
F042267,L,67840.00,67840.00,0.00,103456000.0000,103456000.0000,0.0000
F042268,L,184990.00,184990.00,0.00,227352710.0000,227352710.0000,0.0000
F042269,L,48480.00,48480.00,0.00,72429120.0000,72429120.0000,0.0000
F043930,L,73920.00,73920.00,0.00,111171244.8000,111171244.8000,0.0000
F043931,L,38930.00,38930.00,0.00,57185834.2000,57185834.2000,0.0000
F043932,L,59720.00,59720.00,0.00,72559800.0000,72559800.0000,0.0000
F043933,m3,85237.00,85237.00,0.00,43089008.2400,43089008.2400,0.0000
F043934,L,199660.00,199660.00,0.00,245378146.8000,245378146.8000,0.0000
F046524,L,17830.00,17830.00,0.00,23321640.0000,23321640.0000,0.0000
F046525,L,10510.00,10510.00,0.00,16805490.0000,16805490.0000,0.0000
F046526,L,28670.00,28670.00,0.00,39736620.0000,39736620.0000,0.0000
F046527,L,25340.00,25340.00,0.00,42013720.0000,42013720.0000,0.0000
F046778,L,202600.00,202600.00,0.00,266216400.0000,266216400.0000,0.0000
F046779,L,87160.00,87160.00,0.00,138758720.0000,138758720.0000,0.0000
F046780,L,15930.00,15930.00,0.00,21648870.0000,21648870.0000,0.0000
F046781,L,58580.00,58580.00,0.00,95836880.0000,95836880.0000,0.0000
F048391,L,16650.00,16650.00,0.00,27172800.0000,27172800.0000,0.0000
F048392,L,12220.00,12220.00,0.00,16765840.0000,16765840.0000,0.0000
F048393,L,37660.00,37660.00,0.00,60067700.0000,60067700.0000,0.0000
F048394,L,132900.00,132900.00,0.00,174630600.0000,174630600.0000,0.0000
F048904,m3,110.78,110.78,0.00,63033.8200,63033.8200,0.0000
F048905,L,73060.00,73060.00,0.00,108494100.0000,108494100.0000,0.0000
F048906,L,39580.00,39580.00,0.00,47416840.0000,47416840.0000,0.0000
F048907,L,232160.00,232160.00,0.00,295539680.0000,295539680.0000,0.0000
F048908,L,38520.00,38520.00,0.00,55969560.0000,55969560.0000,0.0000
F049587,L,129560.00,129560.00,0.00,166602499.6000,166602499.6000,0.0000
F049588,L,95490.00,95490.00,0.00,143328580.2000,143328580.2000,0.0000
F049589,L,321480.00,321480.00,0.00,408591435.6000,408591435.6000,0.0000
F049590,L,70640.00,70640.00,0.00,107725293.6000,107725293.6000,0.0000
F049591,L,2380.00,2380.00,0.00,3032358.0000,3032358.0000,0.0000
F049592,m3,139200.00,139200.00,0.00,118180800.0000,118180800.0000,0.0000
F049850,L,37170.00,37170.00,0.00,48318769.8000,48318769.8000,0.0000
F049851,L,57870.00,57870.00,0.00,74166770.7000,74166770.7000,0.0000
F049852,L,12990.00,12990.00,0.00,20602140.0000,20602140.0000,0.0000
F049853,L,6430.00,6430.00,0.00,9862205.4000,9862205.4000,0.0000
F051628,m3,83994.70,83994.70,0.00,55352507.3000,55352507.3000,0.0000
F051629,L,170330.00,170330.00,0.00,259410886.7000,259410886.7000,0.0000
F051630,L,318200.00,318200.00,0.00,402838018.0000,402838018.0000,0.0000
F051631,L,49260.00,49260.00,0.00,62881867.8000,62881867.8000,0.0000
F051632,L,4150.00,4150.00,0.00,5810000.0000,5810000.0000,0.0000
F051633,L,115660.00,115660.00,0.00,174421063.0000,174421063.0000,0.0000
F055766,m3,84093.00,84093.00,0.00,40242705.1500,40242705.1500,0.0000
F055767,L,44890.00,44890.00,0.00,63250907.8000,63250907.8000,0.0000
F055768,L,36510.00,36510.00,0.00,43075958.4000,43075958.4000,0.0000
F055769,L,174030.00,174030.00,0.00,198864081.0000,198864081.0000,0.0000
F055770,L,2040.00,2040.00,0.00,1618250.4000,1618250.4000,0.0000
F055771,L,46510.00,46510.00,0.00,54766455.2000,54766455.2000,0.0000
F056863,L,152820.00,152820.00,0.00,198688923.0000,198688923.0000,0.0000
F056865,L,45180.00,45180.00,0.00,68857482.6000,68857482.6000,0.0000
F056868,m3,57078.00,57078.00,0.00,41229722.5200,41229722.5200,0.0000
F056869,L,138730.00,138730.00,0.00,175654376.8000,175654376.8000,0.0000
F056870,L,3550.00,3550.00,0.00,4564128.5000,4564128.5000,0.0000
F056872,L,107740.00,107740.00,0.00,162024799.0000,162024799.0000,0.0000
F059778,L,6780.00,6780.00,0.00,10393740.0000,10393740.0000,0.0000
F059779,L,33950.00,33950.00,0.00,53165700.0000,53165700.0000,0.0000
F059780,L,204450.00,204450.00,0.00,265785000.0000,265785000.0000,0.0000
F059781,L,119870.00,119870.00,0.00,152834250.0000,152834250.0000,0.0000
F060850,L,63890.00,63890.00,0.00,80853433.9000,80853433.9000,0.0000
F060851,L,83580.00,83580.00,0.00,110293003.8000,110293003.8000,0.0000
F060852,L,20580.00,20580.00,0.00,32055202.2000,32055202.2000,0.0000
F060853,L,11330.00,11330.00,0.00,17251851.1000,17251851.1000,0.0000
F061073,L,130840.00,130840.00,0.00,166743804.4000,166743804.4000,0.0000
F061075,L,39530.00,39530.00,0.00,55211551.0000,55211551.0000,0.0000
F061076,L,19050.00,19050.00,0.00,30426850.5000,30426850.5000,0.0000
F061079,L,24350.00,24350.00,0.00,40208668.0000,40208668.0000,0.0000
F062093,L,58620.00,58620.00,0.00,78609420.0000,78609420.0000,0.0000
F062095,L,4250.00,4250.00,0.00,6659750.0000,6659750.0000,0.0000
F062096,L,4390.00,4390.00,0.00,7019610.0000,7019610.0000,0.0000
F062098,L,38120.00,38120.00,0.00,49136680.0000,49136680.0000,0.0000
F062195,L,23760.00,23760.00,0.00,36186480.0000,36186480.0000,0.0000
F062196,L,110770.00,110770.00,0.00,144001000.0000,144001000.0000,0.0000
F062197,L,74460.00,74460.00,0.00,116604360.0000,116604360.0000,0.0000
F062198,L,235940.00,235940.00,0.00,295396880.0000,295396880.0000,0.0000
F062782,m3,94855.90,94855.90,0.00,66304274.1000,66304274.1000,0.0000
F062784,L,243460.00,243460.00,0.00,307804043.4000,307804043.4000,0.0000
F062785,L,247080.00,247080.00,0.00,317665814.4000,317665814.4000,0.0000
F062790,L,134980.00,134980.00,0.00,203151649.0000,203151649.0000,0.0000
F062791,L,255570.00,255570.00,0.00,383099430.0000,383099430.0000,0.0000
F064040,L,309820.00,309820.00,0.00,460373930.8000,460373930.8000,0.0000
F064041,L,762940.00,762940.00,0.00,970085839.4000,970085839.4000,0.0000
F064043,L,128540.00,128540.00,0.00,193027232.6000,193027232.6000,0.0000
F064045,L,282690.00,282690.00,0.00,354032475.3000,354032475.3000,0.0000
F064118,L,79590.00,79590.00,0.00,103467000.0000,103467000.0000,0.0000
F064119,L,208940.00,208940.00,0.00,261592880.0000,261592880.0000,0.0000
F064120,L,75870.00,75870.00,0.00,118357200.0000,118357200.0000,0.0000
F064121,L,49500.00,49500.00,0.00,75388500.0000,75388500.0000,0.0000
F065784,L,187210.00,187210.00,0.00,234379431.6000,234379431.6000,0.0000
F065785,m3,84775.00,84775.00,0.00,43150475.0000,43150475.0000,0.0000
F065786,L,35860.00,35860.00,0.00,42113625.4000,42113625.4000,0.0000
F065787,L,57320.00,57320.00,0.00,70904840.0000,70904840.0000,0.0000
F065788,L,65260.00,65260.00,0.00,78150155.2000,78150155.2000,0.0000
F068365,L,5060.00,5060.00,0.00,8293340.0000,8293340.0000,0.0000
F068366,L,52670.00,52670.00,0.00,74710288.2000,74710288.2000,0.0000
F068367,L,31600.00,31600.00,0.00,42312400.0000,42312400.0000,0.0000
F068368,L,19000.00,19000.00,0.00,31521000.0000,31521000.0000,0.0000
F068620,L,85970.00,85970.00,0.00,139529310.0000,139529310.0000,0.0000
F068621,L,58750.00,58750.00,0.00,97642500.0000,97642500.0000,0.0000
F068622,L,16150.00,16150.00,0.00,22416200.0000,22416200.0000,0.0000
F068623,L,178450.00,178450.00,0.00,238052300.0000,238052300.0000,0.0000
F070231,L,15970.00,15970.00,0.00,26494230.0000,26494230.0000,0.0000
F070232,L,121810.00,121810.00,0.00,162859970.0000,162859970.0000,0.0000
F070233,L,11260.00,11260.00,0.00,15752740.0000,15752740.0000,0.0000
F070234,L,36360.00,36360.00,0.00,59012280.0000,59012280.0000,0.0000
F070745,m3,109117.00,109117.00,0.00,62087573.0000,62087573.0000,0.0000
F070746,L,25510.00,25510.00,0.00,38545610.0000,38545610.0000,0.0000
F070747,L,28290.00,28290.00,0.00,34485510.0000,34485510.0000,0.0000
F070748,L,177450.00,177450.00,0.00,218973300.0000,218973300.0000,0.0000
F070749,L,39330.00,39330.00,0.00,58129740.0000,58129740.0000,0.0000
F071419,L,116980.00,116980.00,0.00,153118631.4000,153118631.4000,0.0000
F071420,L,69430.00,69430.00,0.00,107740085.4000,107740085.4000,0.0000
F071421,L,114120.00,114120.00,0.00,174255534.0000,174255534.0000,0.0000
F071422,L,2340.00,2340.00,0.00,3063060.0000,3063060.0000,0.0000
F071423,L,294890.00,294890.00,0.00,381056858.0000,381056858.0000,0.0000
F071424,m3,133.18,133.18,0.00,113069.8200,113069.8200,0.0000
F071680,L,29830.00,29830.00,0.00,39462405.3000,39462405.3000,0.0000
F071681,L,10650.00,10650.00,0.00,16823272.5000,16823272.5000,0.0000
F071682,L,4370.00,4370.00,0.00,6707513.0000,6707513.0000,0.0000
F071683,L,39100.00,39100.00,0.00,50039007.0000,50039007.0000,0.0000
F073457,m3,81303.70,81303.70,0.00,53579138.3000,53579138.3000,0.0000
F073458,L,122990.00,122990.00,0.00,188858524.4000,188858524.4000,0.0000
F073459,L,166680.00,166680.00,0.00,258497344.8000,258497344.8000,0.0000
F073460,L,49190.00,49190.00,0.00,63946016.2000,63946016.2000,0.0000
F073461,L,302350.00,302350.00,0.00,390019406.0000,390019406.0000,0.0000
F073462,L,4990.00,4990.00,0.00,7265739.4000,7265739.4000,0.0000
F077601,L,48610.00,48610.00,0.00,42229937.5000,42229937.5000,0.0000
F077602,L,29890.00,29890.00,0.00,32337692.1000,32337692.1000,0.0000
F077603,L,167790.00,167790.00,0.00,139426778.4000,139426778.4000,0.0000
F077604,L,43690.00,43690.00,0.00,46394411.0000,46394411.0000,0.0000
F077605,m3,80684.00,80684.00,0.00,33092542.6000,33092542.6000,0.0000
F077606,L,2130.00,2130.00,0.00,1661932.5000,1661932.5000,0.0000
F078696,L,46770.00,46770.00,0.00,72582363.0000,72582363.0000,0.0000
F078697,L,203090.00,203090.00,0.00,268748997.0000,268748997.0000,0.0000
F078698,L,117830.00,117830.00,0.00,180435435.6000,180435435.6000,0.0000
F078699,L,4500.00,4500.00,0.00,5787540.0000,5787540.0000,0.0000
F078700,L,133760.00,133760.00,0.00,172645369.6000,172645369.6000,0.0000
F078701,m3,56561.00,56561.00,0.00,42420750.0000,42420750.0000,0.0000
F081589,L,27390.00,27390.00,0.00,43796610.0000,43796610.0000,0.0000
F081590,L,4690.00,4690.00,0.00,7189770.0000,7189770.0000,0.0000
F081591,L,105070.00,105070.00,0.00,136482777.9000,136482777.9000,0.0000
F081592,L,192710.00,192710.00,0.00,255340750.0000,255340750.0000,0.0000
F082636,L,15570.00,15570.00,0.00,24756300.0000,24756300.0000,0.0000
F082637,L,7560.00,7560.00,0.00,11738109.6000,11738109.6000,0.0000
F082638,L,86160.00,86160.00,0.00,115965328.8000,115965328.8000,0.0000
F082639,L,58040.00,58040.00,0.00,74974911.2000,74974911.2000,0.0000
F082870,L,38300.00,38300.00,0.00,54407831.0000,54407831.0000,0.0000
F082871,L,24350.00,24350.00,0.00,40480657.5000,40480657.5000,0.0000
F082872,L,17990.00,17990.00,0.00,29210542.9000,29210542.9000,0.0000
F082873,L,118470.00,118470.00,0.00,153601093.8000,153601093.8000,0.0000
F083879,L,2140.00,2140.00,0.00,3475360.0000,3475360.0000,0.0000
F083883,L,12000.00,12000.00,0.00,19944000.0000,19944000.0000,0.0000
F083884,L,84000.00,84000.00,0.00,112056000.0000,112056000.0000,0.0000
F083885,L,47900.00,47900.00,0.00,66485200.0000,66485200.0000,0.0000
F083981,L,103020.00,103020.00,0.00,136295460.0000,136295460.0000,0.0000
F083982,L,221760.00,221760.00,0.00,282522240.0000,282522240.0000,0.0000
F083983,L,24530.00,24530.00,0.00,38021500.0000,38021500.0000,0.0000
F083984,L,70330.00,70330.00,0.00,112035690.0000,112035690.0000,0.0000
F084570,m3,89727.20,89727.20,0.00,62719312.8000,62719312.8000,0.0000
F084571,L,217260.00,217260.00,0.00,278948804.4000,278948804.4000,0.0000
F084577,L,119160.00,119160.00,0.00,181516428.0000,181516428.0000,0.0000
F084578,L,274640.00,274640.00,0.00,359479042.4000,359479042.4000,0.0000
F084579,L,225490.00,225490.00,0.00,344063916.5000,344063916.5000,0.0000
F085827,L,291610.00,291610.00,0.00,441290496.9000,441290496.9000,0.0000
F085828,L,873660.00,873660.00,0.00,1130786874.6000,1130786874.6000,0.0000
F085832,L,247930.00,247930.00,0.00,315900009.5000,315900009.5000,0.0000
F085833,L,106450.00,106450.00,0.00,162564053.0000,162564053.0000,0.0000
F085906,L,46300.00,46300.00,0.00,71765000.0000,71765000.0000,0.0000
F085907,L,174730.00,174730.00,0.00,222606020.0000,222606020.0000,0.0000
F085908,L,70670.00,70670.00,0.00,93496410.0000,93496410.0000,0.0000
F085909,L,61660.00,61660.00,0.00,97854420.0000,97854420.0000,0.0000
F087563,m3,79901.00,79901.00,0.00,40669609.0000,40669609.0000,0.0000
F087564,L,39390.00,39390.00,0.00,54432647.1000,54432647.1000,0.0000
F087565,L,79550.00,79550.00,0.00,114668938.5000,114668938.5000,0.0000
F087566,L,197280.00,197280.00,0.00,242780659.2000,242780659.2000,0.0000
F087567,L,53190.00,53190.00,0.00,64130651.1000,64130651.1000,0.0000
F090171,L,15960.00,15960.00,0.00,26085183.6000,26085183.6000,0.0000
F090172,L,32320.00,32320.00,0.00,42885731.2000,42885731.2000,0.0000
F090173,L,3720.00,3720.00,0.00,6001959.6000,6001959.6000,0.0000
F090174,L,50490.00,50490.00,0.00,70610769.9000,70610769.9000,0.0000
F090426,L,14880.00,14880.00,0.00,20340960.0000,20340960.0000,0.0000
F090427,L,65240.00,65240.00,0.00,104188280.0000,104188280.0000,0.0000
F090428,L,88050.00,88050.00,0.00,137886300.0000,137886300.0000,0.0000
F090429,L,175800.00,175800.00,0.00,232583400.0000,232583400.0000,0.0000
F092034,L,104540.00,104540.00,0.00,138842710.2000,138842710.2000,0.0000
F092035,L,8890.00,8890.00,0.00,12286513.4000,12286513.4000,0.0000
F092036,L,32490.00,32490.00,0.00,51237704.7000,51237704.7000,0.0000
F092037,L,13950.00,13950.00,0.00,22411791.0000,22411791.0000,0.0000
F092541,L,240260.00,240260.00,0.00,290892392.4000,290892392.4000,0.0000
F092542,L,78910.00,78910.00,0.00,112187925.2000,112187925.2000,0.0000
F092543,L,37630.00,37630.00,0.00,51305494.6000,51305494.6000,0.0000
F092544,L,34180.00,34180.00,0.00,40499882.0000,40499882.0000,0.0000
F092545,m3,118229.00,118229.00,0.00,67272301.0000,67272301.0000,0.0000
