_fila_extraida,Nro Inscripción,Período,Operador,Bandera,Fecha de baja,CUIT,Tipo Negocio,Dirección,Localidad,Provincia,Producto,Canal de Comercialización,Precio sin impuestos,Precio con impuestos,Volumen,Precio surtidor,NO Movimientos,Excentos,Impuesto Combustible Líquidos,Impuesto Dióxido Carbono,Tasa Vial,tasa Municipal,Ingresos Brutos,Iva,Fondo fiduciario GNC
5879,2298,2025/01,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Kerosene,Al público,800.15,1231.91,1.57,1237.00,NO,0,236.73,27.00,0,0,0,168.03,0
5880,2298,2025/01,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,GNC,Al público,660.36,799.00,138800.00,799.00,NO,0,0,0,0,0,0,138.68,0
6134,3978,2025/01,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Nafta (premium) de más de 95 Ron,Al público,1036.52,1454.00,8.04,1454.00,NO,0,188.45,11.54,0,0,0,217.66,0
6135,3978,2025/01,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Gas Oil Grado 2,Al público,902.89,1195.00,49.68,1195.00,NO,0,136.89,15.60,0,0,0,189.60,0
6136,3978,2025/01,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Gas Oil Grado 3,Al público,1102.19,1490.00,17.04,1490.00,NO,0,136.89,15.60,0,0,0,231.46,0
6137,3978,2025/01,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Nafta (súper) entre 92 y 95 Ron,Al público,842.07,1165.00,60.88,1165.00,NO,0,188.45,11.54,0,0,0,176.83,0
7910,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Kerosene,Al público,929.27,1388.15,4.19,1400.00,NO,0,236.73,12.13,14.87,0,0,195.15,0
7911,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Gas Oil Grado 3,Al público,1060.36,1447.77,113.73,1479.00,NO,1,132.69,15.09,16.97,0,0,222.67,0
7912,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Gas Oil Grado 2,Al público,872.92,1225.25,55.66,1251.00,NO,0,139.22,15.83,13.97,0,0,183.31,0
7913,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,GNC,Al público,512.52,639.00,78739.70,639.00,NO,0,0,0,8.20,0,0,4210.94,10.65
7914,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Al público,829.79,1215.83,308.13,1241.00,NO,0,187.08,11.43,13.28,0,0,174.26,0
7915,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Transporte de cargas,828.87,1214.76,48,0,NO,0,187.11,11.45,13.26,0,0,174.06,0
7916,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Gas Oil Grado 2,Transporte de cargas,870.35,1221.36,90,0,NO,0,138.52,15.79,13.93,0,0,182.77,0
7917,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Nafta (premium) de más de 95 Ron,Al público,1035.39,1461.66,172.92,1493.00,NO,0,181.21,11.06,16.57,0,0,217.43,0
7918,1036,2025/01,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Gas Oil Grado 3,Transporte de cargas,1060.44,1449.00,25,0,NO,1,133.67,15.24,16.97,0,0,222.69,0
12063,719,2025/01,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Gas Oil Grado 3,Al público,1036.82,1424.04,30.25,1429.00,NO,0,133.33,15.20,25.92,8.91,41.49,217.73,0
12064,719,2025/01,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Gas Oil Grado 2,Al público,829.32,1177.27,46.52,1179.00,NO,0,138.96,15.83,20.73,8.91,34.44,174.16,0
12065,719,2025/01,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,GNC,Al público,394.34,493.49,81548.00,494.90,NO,0,0,0,17.75,8.91,13.80,82.81,9.20
12066,719,2025/01,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Kerosene,Al público,741.11,1177.92,1.37,1179.00,NO,0,236.73,27.00,18.53,8.91,35.17,155.63,0
12067,719,2025/01,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Nafta (premium) de más de 95 Ron,Al público,1024.20,1469.42,43.04,1470.00,NO,0,188.45,11.54,30.73,8.91,42.85,215.08,0
12068,719,2025/01,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Nafta (súper) entre 92 y 95 Ron,Al público,805.67,1194.48,166.49,1195.00,NO,0,188.45,11.54,20.14,8.91,35.20,169.19,0
13157,8252,2025/01,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Kerosene,Al público,898.92,1216.68,2.51,1237.00,NO,0,236.73,27.00,0,0,0,21,0
13158,8252,2025/01,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Nafta (súper) entre 92 y 95 Ron,Al público,850.57,1220.15,133.04,1222.00,NO,0,179.93,11.02,0,0,0,21,0
13159,8252,2025/01,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Gas Oil Grado 2,Al público,914.02,1250.67,189.13,1237.00,NO,0,129.89,14.80,0,0,0,21,0
13160,8252,2025/01,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Nafta (premium) de más de 95 Ron,Al público,1055.81,1468.48,47.79,1446.00,NO,0,179.93,11.02,0,0,0,21,0
13162,8252,2025/01,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Gas Oil Grado 3,Al público,1080.75,1448.50,113.54,1444.00,NO,0,126.38,14.40,0,0,0,21,0
13164,8252,2025/01,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,GNC,Al público,577.50,698.90,57789.00,699.00,NO,0,0,0,0,0,0,21,0
16145,10979,2025/01,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Nafta (súper) entre 92 y 95 Ron,Al público,847.94,1226.00,125.52,1226.00,NO,0,188.07,11.54,0,5.94,21.20,178.07,0
16146,10979,2025/01,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Nafta (premium) de más de 95 Ron,Al público,1052.89,1474.00,56.36,1474.00,NO,0,188.45,11.54,0,7.37,26.32,221.11,0
16147,10979,2025/01,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Gas Oil Grado 2,Al público,894.87,1246.00,103.64,1246.00,NO,0,146.50,16.70,0,6.26,22.37,187.92,0
16148,10979,2025/01,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Gas Oil Grado 3,Al público,1129.05,1531.00,143.62,1531.00,NO,0,147.98,16.98,0,7.90,28.23,237.10,0
17196,7672,2025/01,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Gas Oil Grado 2,Al público,922.87,1273.91,82.10,1270.00,NO,0,133.07,15.74,0,0,0,922.47,0
17197,7672,2025/01,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Nafta (premium) de más de 95 Ron,Al público,1042.77,1461.11,13.49,1463.00,NO,0,188.45,11.54,0,0,0,1043.80,0
17198,7672,2025/01,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Al público,839.77,1215.63,65.76,1217.00,NO,0,188.45,11.54,0,0,0,176.50,0
17199,7672,2025/01,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Gas Oil Grado 3,Al público,1117.04,1499.83,18.41,1499.00,NO,0,133.78,15.25,0,0,0,234.29,0
17437,189,2025/01,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Nafta (súper) entre 92 y 95 Ron,Al público,846.55,1224.06,208.83,1226.00,NO,0,188.20,11.53,0,0,0,199.27,0
17439,189,2025/01,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Gas Oil Grado 2,Al público,979.81,1336.96,41.93,1340.00,NO,0,135.90,15.49,0,0,0,205.76,0
17440,189,2025/01,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Nafta (premium) de más de 95 Ron,Al público,1101.11,1532.16,28.71,1536.00,NO,0,188.28,11.53,0,0,0,231.23,0
17441,189,2025/01,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Gas Oil Grado 3,Al público,1192.93,1594.80,19.74,1598.00,NO,0,135.88,15.49,0,0,0,250.51,0
18449,4653,2025/01,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Nafta (premium) de más de 95 Ron,Al público,1194.73,1541.00,6.15,1541.00,NO,0,214.14,13.11,0,0,0,119.01,0
18454,4653,2025/01,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Gas Oil Grado 3,Al público,1188.08,1541.00,4.33,1541.00,NO,0,147.98,16.86,0,0,0,188.13,0
18456,4653,2025/01,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Nafta (súper) entre 92 y 95 Ron,Al público,988.50,1262.00,33.25,1262.00,NO,0,214.14,13.11,0,0,0,46.25,0
18457,4653,2025/01,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Gas Oil Grado 2,Al público,1009.91,1315.00,55.33,1315.00,NO,0,147.98,16.86,0,0,0,140.25,0
18552,2951,2025/01,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Gas Oil Grado 2,Al público,844.57,1246.00,107.35,1246.00,NO,0,158.81,18.11,0,0,0,224.57,0
18553,2951,2025/01,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Gas Oil Grado 3,Al público,1041.00,1495.00,68.27,1495.00,NO,0,159.13,18.15,0,0,0,276.72,0
18554,2951,2025/01,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Nafta (premium) de más de 95 Ron,Al público,964.26,1464.00,24.67,1464.00,NO,0,229.36,14.05,0,0,0,256.32,0
18555,2951,2025/01,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Nafta (súper) entre 92 y 95 Ron,Al público,763.27,1204.00,219.73,1204.00,NO,0,229.36,14.05,0,0,0,197.31,0
19145,563,2025/01,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Gas Oil Grado 2,Al público,934.78,1236.29,253.52,1237.00,NO,0,94.43,10.76,0,0,0,196.30,0
19146,563,2025/01,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Nafta (súper) entre 92 y 95 Ron,Al público,883.30,1214.31,287.41,1216.00,NO,0,137.12,8.40,0,0,0,185.49,0
19148,563,2025/01,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Nafta (premium) de más de 95 Ron,Al público,1075.05,1446.33,156.95,1459.00,NO,0,137.12,8.40,0,0,0,225.76,0
19149,563,2025/01,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Gas Oil Grado 3,Al público,1106.79,1441.56,246.10,1444.00,NO,0,91.88,10.76,0,0,0,232.43,0
19150,563,2025/01,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,GNC,Al público,560.95,678.74,104981.00,699.00,NO,0,0,0,0,0,0,117.80,10.49
20381,6644,2025/01,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Al público,829.40,1203.25,276.27,1204.00,NO,0,188.16,11.53,0,0,0,695.36,0
20382,6644,2025/01,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Nafta (premium) de más de 95 Ron,Al público,1035.68,1443.58,118.47,1444.00,NO,0,179.42,10.99,0,0,0,315.35,0
20383,6644,2025/01,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Kerosene,Al público,504.21,620.81,163.29,630.00,NO,0,0,10.71,0,0,0,105.88,0
20384,6644,2025/01,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Gas Oil Grado 2,Al público,880.70,1219.72,789.87,1225.00,NO,0,138.31,15.76,0,0,0,184.97,0
