id_pedido,fecha,id_cliente,estado,origen
V000096,2025-12-01,C0008,Concretado,sintetico_mensual
V000097,2025-01-01,C0009,Concretado,sintetico_mensual
V000098,2025-02-01,C0009,Concretado,sintetico_mensual
V000099,2025-03-01,C0009,Concretado,sintetico_mensual
V000100,2025-04-01,C0009,Concretado,sintetico_mensual
V000101,2025-05-01,C0009,Concretado,sintetico_mensual
V000102,2025-06-01,C0009,Concretado,sintetico_mensual
V000103,2025-07-01,C0009,Concretado,sintetico_mensual
V000104,2025-08-01,C0009,Concretado,sintetico_mensual
V000105,2025-09-01,C0009,Concretado,sintetico_mensual
V000106,2025-10-01,C0009,Concretado,sintetico_mensual
V000107,2025-11-01,C0009,Concretado,sintetico_mensual
V000108,2025-12-01,C0009,Concretado,sintetico_mensual
V000109,2025-01-01,C0010,Concretado,sintetico_mensual
V000110,2025-02-01,C0010,Concretado,sintetico_mensual
V000111,2025-03-01,C0010,Concretado,sintetico_mensual
V000112,2025-04-01,C0010,Concretado,sintetico_mensual
V000113,2025-05-01,C0010,Concretado,sintetico_mensual
V000114,2025-06-01,C0010,Concretado,sintetico_mensual
V000115,2025-07-01,C0010,Concretado,sintetico_mensual
V000116,2025-08-01,C0010,Concretado,sintetico_mensual
V000117,2025-09-01,C0010,Concretado,sintetico_mensual
V000118,2025-10-01,C0010,Concretado,sintetico_mensual
V000119,2025-11-01,C0010,Concretado,sintetico_mensual
V000120,2025-12-01,C0010,Concretado,sintetico_mensual
V000121,2025-01-01,C0011,Concretado,sintetico_mensual
V000122,2025-02-01,C0011,Concretado,sintetico_mensual
V000123,2025-03-01,C0011,Concretado,sintetico_mensual
V000124,2025-04-01,C0011,Concretado,sintetico_mensual
V000125,2025-05-01,C0011,Concretado,sintetico_mensual
V000126,2025-06-01,C0011,Concretado,sintetico_mensual
V000127,2025-07-01,C0011,Concretado,sintetico_mensual
V000128,2025-08-01,C0011,Concretado,sintetico_mensual
V000129,2025-09-01,C0011,Concretado,sintetico_mensual
V000130,2025-10-01,C0011,Concretado,sintetico_mensual
V000131,2025-11-01,C0011,Concretado,sintetico_mensual
V000132,2025-12-01,C0011,Concretado,sintetico_mensual
V000133,2025-01-01,C0012,Concretado,sintetico_mensual
V000134,2025-02-01,C0012,Concretado,sintetico_mensual
V000135,2025-03-01,C0012,Concretado,sintetico_mensual
V000136,2025-04-01,C0012,Concretado,sintetico_mensual
V000137,2025-05-01,C0012,Concretado,sintetico_mensual
V000138,2025-06-01,C0012,Concretado,sintetico_mensual
V000139,2025-07-01,C0012,Concretado,sintetico_mensual
V000140,2025-08-01,C0012,Concretado,sintetico_mensual
V000141,2025-09-01,C0012,Concretado,sintetico_mensual
V000142,2025-10-01,C0012,Concretado,sintetico_mensual
V000143,2025-11-01,C0012,Concretado,sintetico_mensual
V000144,2025-12-01,C0012,Concretado,sintetico_mensual
V000145,2025-01-01,C0013,Concretado,sintetico_mensual
V000146,2025-02-01,C0013,Concretado,sintetico_mensual
V000147,2025-03-01,C0013,Concretado,sintetico_mensual
V000148,2025-04-01,C0013,Concretado,sintetico_mensual
V000149,2025-05-01,C0013,Concretado,sintetico_mensual
V000150,2025-06-01,C0013,Concretado,sintetico_mensual
V000151,2025-07-01,C0013,Concretado,sintetico_mensual
V000152,2025-08-01,C0013,Concretado,sintetico_mensual
V000153,2025-09-01,C0013,Concretado,sintetico_mensual
V000154,2025-10-01,C0013,Concretado,sintetico_mensual
V000155,2025-11-01,C0013,Concretado,sintetico_mensual
V000156,2025-12-01,C0013,Concretado,sintetico_mensual
V000157,2025-01-01,C0014,Concretado,sintetico_mensual
V000158,2025-02-01,C0014,Concretado,sintetico_mensual
V000159,2025-03-01,C0014,Concretado,sintetico_mensual
V000160,2025-04-01,C0014,Concretado,sintetico_mensual
V000161,2025-05-01,C0014,Concretado,sintetico_mensual
V000162,2025-06-01,C0014,Concretado,sintetico_mensual
V000163,2025-07-01,C0014,Concretado,sintetico_mensual
V000164,2025-08-01,C0014,Concretado,sintetico_mensual
V000165,2025-09-01,C0014,Concretado,sintetico_mensual
V000166,2025-10-01,C0014,Concretado,sintetico_mensual
V000167,2025-11-01,C0014,Concretado,sintetico_mensual
V000168,2025-12-01,C0014,Concretado,sintetico_mensual
V000169,2025-01-01,C0015,Concretado,sintetico_mensual
V000170,2025-02-01,C0015,Concretado,sintetico_mensual
V000171,2025-03-01,C0015,Concretado,sintetico_mensual
V000172,2025-04-01,C0015,Concretado,sintetico_mensual
V000173,2025-05-01,C0015,Concretado,sintetico_mensual
V000174,2025-06-01,C0015,Concretado,sintetico_mensual
V000175,2025-07-01,C0015,Concretado,sintetico_mensual
V000176,2025-08-01,C0015,Concretado,sintetico_mensual
V000177,2025-09-01,C0015,Concretado,sintetico_mensual
V000178,2025-10-01,C0015,Concretado,sintetico_mensual
V000179,2025-11-01,C0015,Concretado,sintetico_mensual
V000180,2025-12-01,C0015,Concretado,sintetico_mensual
V000181,2025-01-01,C0016,Concretado,sintetico_mensual
V000182,2025-02-01,C0016,Concretado,sintetico_mensual
V000183,2025-03-01,C0016,Concretado,sintetico_mensual
V000184,2025-04-01,C0016,Concretado,sintetico_mensual
V000185,2025-05-01,C0016,Concretado,sintetico_mensual
V000186,2025-06-01,C0016,Concretado,sintetico_mensual
V000187,2025-07-01,C0016,Concretado,sintetico_mensual
V000188,2025-08-01,C0016,Concretado,sintetico_mensual
V000189,2025-09-01,C0016,Concretado,sintetico_mensual
V000190,2025-10-01,C0016,Concretado,sintetico_mensual
V000191,2025-11-01,C0016,Concretado,sintetico_mensual
V000192,2025-12-01,C0016,Concretado,sintetico_mensual
V000193,2025-01-01,C0017,Concretado,sintetico_mensual
V000194,2025-02-01,C0017,Concretado,sintetico_mensual
V000195,2025-03-01,C0017,Concretado,sintetico_mensual
V000196,2025-04-01,C0017,Concretado,sintetico_mensual
V000197,2025-05-01,C0017,Concretado,sintetico_mensual
V000198,2025-06-01,C0017,Concretado,sintetico_mensual
V000199,2025-07-01,C0017,Concretado,sintetico_mensual
V000200,2025-08-01,C0017,Concretado,sintetico_mensual
V000201,2025-09-01,C0017,Concretado,sintetico_mensual
V000202,2025-10-01,C0017,Concretado,sintetico_mensual
V000203,2025-11-01,C0017,Concretado,sintetico_mensual
V000204,2025-12-01,C0017,Concretado,sintetico_mensual
V000205,2025-01-01,C0018,Concretado,sintetico_mensual
V000206,2025-02-01,C0018,Concretado,sintetico_mensual
V000207,2025-03-01,C0018,Concretado,sintetico_mensual
V000208,2025-04-01,C0018,Concretado,sintetico_mensual
V000209,2025-05-01,C0018,Concretado,sintetico_mensual
V000210,2025-06-01,C0018,Concretado,sintetico_mensual
V000211,2025-07-01,C0018,Concretado,sintetico_mensual
V000212,2025-08-01,C0018,Concretado,sintetico_mensual
V000213,2025-09-01,C0018,Concretado,sintetico_mensual
V000214,2025-10-01,C0018,Concretado,sintetico_mensual
V000215,2025-11-01,C0018,Concretado,sintetico_mensual
V000216,2025-12-01,C0018,Concretado,sintetico_mensual
