fila_extraida,operador,periodo,producto,volumen_original,precio_original,motivo
202782,EL GUAEMBE S.R.L.,2025/10,Gas Oil Grado 2,177483.00,1540.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
202783,EL GUAEMBE S.R.L.,2025/10,Nafta (premium) de más de 95 Ron,5754.00,1756.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
224503,EL GUAEMBE S.R.L.,2025/11,Gas Oil Grado 2,159976.00,1708.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
224504,EL GUAEMBE S.R.L.,2025/11,Gas Oil Grado 3,24476.00,1946.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
224505,EL GUAEMBE S.R.L.,2025/11,Nafta (súper) entre 92 y 95 Ron,54733.00,1685.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
224506,EL GUAEMBE S.R.L.,2025/11,Nafta (premium) de más de 95 Ron,5600.00,1924.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
246220,EL GUAEMBE S.R.L.,2025/12,Gas Oil Grado 2,128877.00,1749.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
246221,EL GUAEMBE S.R.L.,2025/12,Nafta (premium) de más de 95 Ron,6434.00,1938.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
246222,EL GUAEMBE S.R.L.,2025/12,Nafta (súper) entre 92 y 95 Ron,58923.00,1693.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
246223,EL GUAEMBE S.R.L.,2025/12,Gas Oil Grado 3,22918.00,1949.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
9874,GRUPO LV SRL,2025/01,Gas Oil Grado 2,70317.30,1337.76,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
9876,GRUPO LV SRL,2025/01,Nafta (premium) de más de 95 Ron,31965.90,1533.44,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
9877,GRUPO LV SRL,2025/01,Gas Oil Grado 3,28009.30,1594.90,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14548,OPERADORA COMERCIAL SA,2025/01,Nafta (premium) de más de 95 Ron,34650.00,1513.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14549,OPERADORA COMERCIAL SA,2025/01,Gas Oil Grado 2,20752.00,1317.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14550,OPERADORA COMERCIAL SA,2025/01,Gas Oil Grado 3,13835.00,1583.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14551,OPERADORA COMERCIAL SA,2025/01,Nafta (súper) entre 92 y 95 Ron,153516.00,1224.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36446,OPERADORA COMERCIAL SA,2025/02,Nafta (premium) de más de 95 Ron,27684.00,1547.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36448,OPERADORA COMERCIAL SA,2025/02,Gas Oil Grado 3,13926.00,1613.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36450,OPERADORA COMERCIAL SA,2025/02,Nafta (súper) entre 92 y 95 Ron,191524.00,1234.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36451,OPERADORA COMERCIAL SA,2025/02,Gas Oil Grado 2,34763.00,1350.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58259,OPERADORA COMERCIAL SA,2025/03,Gas Oil Grado 2,20889.00,1393.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58260,OPERADORA COMERCIAL SA,2025/03,Nafta (súper) entre 92 y 95 Ron,222458.00,1274.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58261,OPERADORA COMERCIAL SA,2025/03,Gas Oil Grado 3,27799.00,1663.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58265,OPERADORA COMERCIAL SA,2025/03,Nafta (premium) de más de 95 Ron,41730.00,1589.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80103,OPERADORA COMERCIAL SA,2025/04,Gas Oil Grado 2,27724.00,1392.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80104,OPERADORA COMERCIAL SA,2025/04,Nafta (súper) entre 92 y 95 Ron,153830.00,1285.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80108,OPERADORA COMERCIAL SA,2025/04,Gas Oil Grado 3,20769.00,1663.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80110,OPERADORA COMERCIAL SA,2025/04,Nafta (premium) de más de 95 Ron,20934.00,1600.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101904,OPERADORA COMERCIAL SA,2025/05,Nafta (súper) entre 92 y 95 Ron,259700.00,1269.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101905,OPERADORA COMERCIAL SA,2025/05,Gas Oil Grado 3,34672.00,1629.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101906,OPERADORA COMERCIAL SA,2025/05,Nafta (premium) de más de 95 Ron,41804.00,1589.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101907,OPERADORA COMERCIAL SA,2025/05,Gas Oil Grado 2,20813.00,1389.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123717,OPERADORA COMERCIAL SA,2025/06,Nafta (premium) de más de 95 Ron,27899.00,1610.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123719,OPERADORA COMERCIAL SA,2025/06,Nafta (súper) entre 92 y 95 Ron,147060.00,1332.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123720,OPERADORA COMERCIAL SA,2025/06,Gas Oil Grado 3,20792.00,1647.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123721,OPERADORA COMERCIAL SA,2025/06,Gas Oil Grado 2,27739.00,1431.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145456,OPERADORA COMERCIAL SA,2025/07,Gas Oil Grado 2,20840.00,1488.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145457,OPERADORA COMERCIAL SA,2025/07,Gas Oil Grado 3,20851.00,1712.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145460,OPERADORA COMERCIAL SA,2025/07,Nafta (premium) de más de 95 Ron,27908.00,1686.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145461,OPERADORA COMERCIAL SA,2025/07,Nafta (súper) entre 92 y 95 Ron,154166.00,1417.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167188,OPERADORA COMERCIAL SA,2025/08,Nafta (premium) de más de 95 Ron,34834.00,1720.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167190,OPERADORA COMERCIAL SA,2025/08,Gas Oil Grado 2,27745.00,1490.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167191,OPERADORA COMERCIAL SA,2025/08,Gas Oil Grado 3,37687.00,1728.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167192,OPERADORA COMERCIAL SA,2025/08,Nafta (súper) entre 92 y 95 Ron,123062.00,1445.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188845,OPERADORA COMERCIAL SA,2025/09,Gas Oil Grado 3,20669.00,1789.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188846,OPERADORA COMERCIAL SA,2025/09,Gas Oil Grado 2,20724.00,1594.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188848,OPERADORA COMERCIAL SA,2025/09,Nafta (premium) de más de 95 Ron,34724.00,1783.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188850,OPERADORA COMERCIAL SA,2025/09,Nafta (súper) entre 92 y 95 Ron,146808.00,1518.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210620,OPERADORA COMERCIAL SA,2025/10,Nafta (premium) de más de 95 Ron,34772.00,1852.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210621,OPERADORA COMERCIAL SA,2025/10,Nafta (súper) entre 92 y 95 Ron,179636.00,1572.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210623,OPERADORA COMERCIAL SA,2025/10,Gas Oil Grado 2,13852.00,1680.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210626,OPERADORA COMERCIAL SA,2025/10,Gas Oil Grado 3,27693.00,1895.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
232355,OPERADORA COMERCIAL SA,2025/11,Gas Oil Grado 2,20814.00,1828.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
232356,OPERADORA COMERCIAL SA,2025/11,Nafta (súper) entre 92 y 95 Ron,156142.00,1659.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
232358,OPERADORA COMERCIAL SA,2025/11,Nafta (premium) de más de 95 Ron,34923.00,1956.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
232362,OPERADORA COMERCIAL SA,2025/11,Gas Oil Grado 3,20746.00,2004.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
254106,OPERADORA COMERCIAL SA,2025/12,Gas Oil Grado 2,13849.00,1889.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
254109,OPERADORA COMERCIAL SA,2025/12,Nafta (premium) de más de 95 Ron,34679.00,2024.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
254110,OPERADORA COMERCIAL SA,2025/12,Gas Oil Grado 3,27644.00,2064.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
254111,OPERADORA COMERCIAL SA,2025/12,Nafta (súper) entre 92 y 95 Ron,185161.00,1720.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14552,OPERADORA COMERCIAL SA,2025/01,Nafta (premium) de más de 95 Ron,13901.00,1513.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14553,OPERADORA COMERCIAL SA,2025/01,Gas Oil Grado 2,63561.00,1317.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14554,OPERADORA COMERCIAL SA,2025/01,Gas Oil Grado 3,28866.00,1583.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
14555,OPERADORA COMERCIAL SA,2025/01,Nafta (súper) entre 92 y 95 Ron,162007.00,1224.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36445,OPERADORA COMERCIAL SA,2025/02,Nafta (premium) de más de 95 Ron,27916.00,1547.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36447,OPERADORA COMERCIAL SA,2025/02,Gas Oil Grado 3,27840.00,1613.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36449,OPERADORA COMERCIAL SA,2025/02,Gas Oil Grado 2,34821.00,1350.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36452,OPERADORA COMERCIAL SA,2025/02,Nafta (súper) entre 92 y 95 Ron,177948.00,1234.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58258,OPERADORA COMERCIAL SA,2025/03,Nafta (súper) entre 92 y 95 Ron,236432.00,1274.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58262,OPERADORA COMERCIAL SA,2025/03,Gas Oil Grado 2,48746.00,1393.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58263,OPERADORA COMERCIAL SA,2025/03,Gas Oil Grado 3,13981.00,1663.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
58264,OPERADORA COMERCIAL SA,2025/03,Nafta (premium) de más de 95 Ron,13963.00,1589.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80105,OPERADORA COMERCIAL SA,2025/04,Gas Oil Grado 2,20620.00,1392.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80106,OPERADORA COMERCIAL SA,2025/04,Nafta (súper) entre 92 y 95 Ron,92522.00,1285.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80107,OPERADORA COMERCIAL SA,2025/04,Nafta (premium) de más de 95 Ron,6975.00,1600.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
80109,OPERADORA COMERCIAL SA,2025/04,Gas Oil Grado 3,13905.00,1663.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101900,OPERADORA COMERCIAL SA,2025/05,Nafta (súper) entre 92 y 95 Ron,153633.00,1269.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101901,OPERADORA COMERCIAL SA,2025/05,Gas Oil Grado 3,13839.00,1629.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101902,OPERADORA COMERCIAL SA,2025/05,Gas Oil Grado 2,41181.00,1389.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101903,OPERADORA COMERCIAL SA,2025/05,Nafta (premium) de más de 95 Ron,13936.00,1589.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123718,OPERADORA COMERCIAL SA,2025/06,Gas Oil Grado 3,13844.00,1647.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123722,OPERADORA COMERCIAL SA,2025/06,Gas Oil Grado 2,26701.00,1431.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123723,OPERADORA COMERCIAL SA,2025/06,Nafta (premium) de más de 95 Ron,13966.00,1610.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123724,OPERADORA COMERCIAL SA,2025/06,Nafta (súper) entre 92 y 95 Ron,123375.00,1332.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145455,OPERADORA COMERCIAL SA,2025/07,Gas Oil Grado 3,20780.00,1712.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145458,OPERADORA COMERCIAL SA,2025/07,Nafta (súper) entre 92 y 95 Ron,109471.00,1417.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145459,OPERADORA COMERCIAL SA,2025/07,Nafta (premium) de más de 95 Ron,13965.00,1686.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145462,OPERADORA COMERCIAL SA,2025/07,Gas Oil Grado 2,33414.00,1488.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167186,OPERADORA COMERCIAL SA,2025/08,Nafta (súper) entre 92 y 95 Ron,116256.00,1445.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167187,OPERADORA COMERCIAL SA,2025/08,Gas Oil Grado 3,13869.00,1728.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167189,OPERADORA COMERCIAL SA,2025/08,Nafta (premium) de más de 95 Ron,13898.00,1720.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
167193,OPERADORA COMERCIAL SA,2025/08,Gas Oil Grado 2,33474.00,1490.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188843,OPERADORA COMERCIAL SA,2025/09,Gas Oil Grado 2,47295.00,1594.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188844,OPERADORA COMERCIAL SA,2025/09,Nafta (premium) de más de 95 Ron,13967.00,1783.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188847,OPERADORA COMERCIAL SA,2025/09,Gas Oil Grado 3,13853.00,1789.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188849,OPERADORA COMERCIAL SA,2025/09,Nafta (súper) entre 92 y 95 Ron,146923.00,1518.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210622,OPERADORA COMERCIAL SA,2025/10,Nafta (súper) entre 92 y 95 Ron,114094.00,1572.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210624,OPERADORA COMERCIAL SA,2025/10,Gas Oil Grado 3,13702.00,1895.67,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210625,OPERADORA COMERCIAL SA,2025/10,Nafta (premium) de más de 95 Ron,13959.00,1852.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210627,OPERADORA COMERCIAL SA,2025/10,Gas Oil Grado 2,47335.00,1680.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
