id_detalle,id_pedido,id_producto,id_fuente,cantidad,precio_unitario_ars,origen
D0000158,V000027,P007,F029824,6443.262,1241.02,sintetico_con_precio_mensual
D0000159,V000027,P006,F029825,9157.284,1492.96,sintetico_con_precio_mensual
D0000160,V000027,P003,F029826,1914.374,1479.01,sintetico_con_precio_mensual
D0000161,V000027,P002,F029827,2903.785,1250.92,sintetico_con_precio_mensual
D0000162,V000027,P004,F029831,78.462,1400.00,sintetico_con_precio_mensual
D0000163,V000028,P001,F029823,2477.382,655.69,sintetico_con_precio_mensual
D0000164,V000028,P007,F029824,3370.582,1241.02,sintetico_con_precio_mensual
D0000165,V000028,P006,F029825,1428.341,1492.96,sintetico_con_precio_mensual
D0000166,V000028,P003,F029826,2967.4,1479.01,sintetico_con_precio_mensual
D0000167,V000028,P002,F029827,1719.716,1250.92,sintetico_con_precio_mensual
D0000168,V000028,P004,F029831,51.381,1400.00,sintetico_con_precio_mensual
D0000169,V000029,P001,F029823,1337.603,655.69,sintetico_con_precio_mensual
D0000170,V000029,P007,F029824,1076.754,1241.02,sintetico_con_precio_mensual
D0000171,V000029,P006,F029825,2835.775,1492.96,sintetico_con_precio_mensual
D0000172,V000029,P003,F029826,13387.566,1479.01,sintetico_con_precio_mensual
D0000173,V000029,P002,F029827,1516.738,1250.92,sintetico_con_precio_mensual
D0000174,V000029,P004,F029831,3.467,,sintetico_con_precio_mensual
D0000175,V000030,P001,F029823,613.013,655.69,sintetico_con_precio_mensual
D0000176,V000030,P007,F029824,2883.283,1241.02,sintetico_con_precio_mensual
D0000177,V000030,P006,F029825,4664.697,1492.96,sintetico_con_precio_mensual
D0000178,V000030,P003,F029826,1176.446,1479.01,sintetico_con_precio_mensual
D0000179,V000030,P002,F029827,3582.864,1250.92,sintetico_con_precio_mensual
D0000180,V000030,P004,F029831,16.956,1400.00,sintetico_con_precio_mensual
D0000181,V000031,P001,F029823,3185.507,655.69,sintetico_con_precio_mensual
D0000182,V000031,P007,F029824,23104.884,1241.02,sintetico_con_precio_mensual
D0000183,V000031,P006,F029825,9834.113,1492.96,sintetico_con_precio_mensual
D0000184,V000031,P003,F029826,759.58,1479.01,sintetico_con_precio_mensual
D0000185,V000031,P002,F029827,1332.493,1250.92,sintetico_con_precio_mensual
D0000186,V000031,P004,F029831,589.138,1400.00,sintetico_con_precio_mensual
D0000187,V000032,P001,F029823,6704.759,655.69,sintetico_con_precio_mensual
D0000188,V000032,P007,F029824,6337.104,1241.02,sintetico_con_precio_mensual
D0000189,V000032,P006,F029825,2562.934,1492.96,sintetico_con_precio_mensual
D0000190,V000032,P003,F029826,2691.678,1479.01,sintetico_con_precio_mensual
D0000191,V000032,P002,F029827,1656.094,1250.92,sintetico_con_precio_mensual
D0000192,V000032,P004,F029831,34.798,1400.00,sintetico_con_precio_mensual
D0000193,V000033,P001,F029823,136.786,655.69,sintetico_con_precio_mensual
D0000194,V000033,P007,F029824,58.33,1241.02,sintetico_con_precio_mensual
D0000195,V000033,P006,F029825,24295.433,1492.96,sintetico_con_precio_mensual
D0000196,V000033,P003,F029826,11917.763,1479.01,sintetico_con_precio_mensual
D0000197,V000033,P002,F029827,36.34,1250.92,sintetico_con_precio_mensual
D0000198,V000033,P004,F029831,83.875,1400.00,sintetico_con_precio_mensual
D0000199,V000034,P001,F029823,8853.347,655.69,sintetico_con_precio_mensual
D0000200,V000034,P007,F029824,17225.418,1241.02,sintetico_con_precio_mensual
D0000201,V000034,P006,F029825,2812.914,1492.96,sintetico_con_precio_mensual
D0000202,V000034,P003,F029826,777.543,1479.01,sintetico_con_precio_mensual
D0000203,V000034,P002,F029827,1185.12,1250.92,sintetico_con_precio_mensual
D0000204,V000034,P004,F029831,136.834,1400.00,sintetico_con_precio_mensual
D0000205,V000035,P001,F029823,4384.909,655.69,sintetico_con_precio_mensual
D0000206,V000035,P007,F029824,22971.348,1241.02,sintetico_con_precio_mensual
D0000207,V000035,P006,F029825,3262.779,1492.96,sintetico_con_precio_mensual
D0000208,V000035,P003,F029826,1530.536,1479.01,sintetico_con_precio_mensual
D0000209,V000035,P002,F029827,3163.664,1250.92,sintetico_con_precio_mensual
D0000210,V000035,P004,F029831,115.78,1400.00,sintetico_con_precio_mensual
D0000211,V000036,P001,F029823,1147.061,655.69,sintetico_con_precio_mensual
D0000212,V000036,P007,F029824,18786.272,1241.02,sintetico_con_precio_mensual
D0000213,V000036,P006,F029825,2926.786,1492.96,sintetico_con_precio_mensual
D0000214,V000036,P003,F029826,731.129,1479.01,sintetico_con_precio_mensual
D0000215,V000036,P002,F029827,218.311,1250.92,sintetico_con_precio_mensual
D0000216,V000036,P004,F029831,107.162,1400.00,sintetico_con_precio_mensual
D0000217,V000037,P001,F029823,1086.556,655.69,sintetico_con_precio_mensual
D0000218,V000037,P007,F029824,6062.367,1241.02,sintetico_con_precio_mensual
D0000219,V000037,P006,F029825,4960.537,1492.96,sintetico_con_precio_mensual
D0000220,V000037,P003,F029826,1337.106,1479.01,sintetico_con_precio_mensual
D0000221,V000037,P002,F029827,16537.068,1250.92,sintetico_con_precio_mensual
D0000222,V000037,P004,F029831,15.844,1400.00,sintetico_con_precio_mensual
D0000223,V000038,P001,F029823,9848.862,655.69,sintetico_con_precio_mensual
D0000224,V000038,P007,F029824,23627.648,1241.02,sintetico_con_precio_mensual
D0000225,V000038,P006,F029825,525.373,1492.96,sintetico_con_precio_mensual
D0000226,V000038,P003,F029826,307.903,1479.01,sintetico_con_precio_mensual
D0000227,V000038,P002,F029827,602.451,1250.92,sintetico_con_precio_mensual
D0000228,V000038,P004,F029831,141.907,1400.00,sintetico_con_precio_mensual
D0000229,V000039,P001,F029823,3036.756,655.69,sintetico_con_precio_mensual
D0000230,V000039,P007,F029824,15733.921,1241.02,sintetico_con_precio_mensual
D0000231,V000039,P006,F029825,9187.048,1492.96,sintetico_con_precio_mensual
D0000232,V000039,P003,F029826,12947.15,1479.01,sintetico_con_precio_mensual
D0000233,V000039,P002,F029827,656.233,1250.92,sintetico_con_precio_mensual
D0000234,V000039,P004,F029831,38.482,1400.00,sintetico_con_precio_mensual
D0000235,V000040,P001,F029823,3693.385,655.69,sintetico_con_precio_mensual
D0000236,V000040,P007,F029824,9581.624,1241.02,sintetico_con_precio_mensual
D0000237,V000040,P006,F029825,3292.61,1492.96,sintetico_con_precio_mensual
D0000238,V000040,P003,F029826,2829.003,1479.01,sintetico_con_precio_mensual
D0000239,V000040,P002,F029827,3911.298,1250.92,sintetico_con_precio_mensual
D0000240,V000040,P004,F029831,41.056,1400.00,sintetico_con_precio_mensual
D0000241,V000041,P001,F029823,4737.955,655.69,sintetico_con_precio_mensual
D0000242,V000041,P007,F029824,37336.13,1241.02,sintetico_con_precio_mensual
D0000243,V000041,P006,F029825,3592.423,1492.96,sintetico_con_precio_mensual
D0000244,V000041,P003,F029826,2873.642,1479.01,sintetico_con_precio_mensual
D0000245,V000041,P002,F029827,62.981,1250.92,sintetico_con_precio_mensual
D0000246,V000041,P004,F029831,101.897,1400.00,sintetico_con_precio_mensual
D0000247,V000042,P001,F029823,529.433,655.69,sintetico_con_precio_mensual
D0000248,V000042,P007,F029824,19103.35,1241.02,sintetico_con_precio_mensual
D0000249,V000042,P006,F029825,16.875,1492.96,sintetico_con_precio_mensual
D0000250,V000042,P003,F029826,1295.073,1479.01,sintetico_con_precio_mensual
D0000251,V000042,P002,F029827,169.707,1250.92,sintetico_con_precio_mensual
D0000252,V000042,P004,F029831,170.97,1400.00,sintetico_con_precio_mensual
D0000253,V000043,P001,F029823,3519.459,655.69,sintetico_con_precio_mensual
D0000254,V000043,P007,F029824,1299.567,1241.02,sintetico_con_precio_mensual
D0000255,V000043,P006,F029825,5353.302,1492.96,sintetico_con_precio_mensual
D0000256,V000043,P003,F029826,2678.46,1479.01,sintetico_con_precio_mensual
D0000257,V000043,P002,F029827,3539.295,1250.92,sintetico_con_precio_mensual
D0000258,V000043,P004,F029831,10.509,1400.00,sintetico_con_precio_mensual
D0000259,V000044,P001,F029823,2019.515,655.69,sintetico_con_precio_mensual
D0000260,V000044,P007,F029824,22765.639,1241.02,sintetico_con_precio_mensual
D0000261,V000044,P006,F029825,6582.99,1492.96,sintetico_con_precio_mensual
D0000262,V000044,P003,F029826,4566.873,1479.01,sintetico_con_precio_mensual
D0000263,V000044,P002,F029827,4393.428,1250.92,sintetico_con_precio_mensual
D0000264,V000044,P004,F029831,115.289,1400.00,sintetico_con_precio_mensual
D0000265,V000045,P001,F029823,2094.403,655.69,sintetico_con_precio_mensual
D0000266,V000045,P007,F029824,9065.55,1241.02,sintetico_con_precio_mensual
D0000267,V000045,P006,F029825,2077.734,1492.96,sintetico_con_precio_mensual
D0000268,V000045,P003,F029826,9959.442,1479.01,sintetico_con_precio_mensual
D0000269,V000045,P002,F029827,1118.464,1250.92,sintetico_con_precio_mensual
D0000270,V000045,P004,F029831,171.048,1400.00,sintetico_con_precio_mensual
D0000271,V000046,P001,F029823,7385.31,655.69,sintetico_con_precio_mensual
D0000272,V000046,P007,F029824,4575.673,1241.02,sintetico_con_precio_mensual
D0000273,V000046,P006,F029825,8610.417,1492.96,sintetico_con_precio_mensual
D0000274,V000046,P003,F029826,1474.795,1479.01,sintetico_con_precio_mensual
D0000275,V000046,P002,F029827,4236.852,1250.92,sintetico_con_precio_mensual
D0000276,V000046,P004,F029831,186.367,1400.00,sintetico_con_precio_mensual
D0000277,V000047,P001,F029823,47.031,655.69,sintetico_con_precio_mensual
D0000278,V000047,P007,F029824,1787.447,1241.02,sintetico_con_precio_mensual
D0000279,V000047,P006,F029825,2228.548,1492.96,sintetico_con_precio_mensual
D0000280,V000047,P003,F029826,1576.062,1479.01,sintetico_con_precio_mensual
D0000281,V000047,P002,F029827,104.561,1250.92,sintetico_con_precio_mensual
D0000282,V000047,P004,F029831,239.034,1400.00,sintetico_con_precio_mensual
D0000283,V000048,P001,F029823,8468.585,655.69,sintetico_con_precio_mensual
D0000284,V000048,P007,F029824,7158.1,1241.02,sintetico_con_precio_mensual
D0000285,V000048,P006,F029825,19328.086,1492.96,sintetico_con_precio_mensual
D0000286,V000048,P003,F029826,16866.79,1479.01,sintetico_con_precio_mensual
D0000287,V000048,P002,F029827,1903.905,1250.92,sintetico_con_precio_mensual
D0000288,V000048,P004,F029831,43.058,1400.00,sintetico_con_precio_mensual
D0000289,V000049,P001,F051628,4899.31,659.00,sintetico_con_precio_mensual
D0000290,V000049,P006,F051629,11922.859,1522.99,sintetico_con_precio_mensual
D0000291,V000049,P007,F051630,16802.966,1265.99,sintetico_con_precio_mensual
D0000292,V000049,P002,F051631,2381.837,1276.53,sintetico_con_precio_mensual
D0000293,V000049,P004,F051632,36.788,1400.00,sintetico_con_precio_mensual
D0000294,V000049,P003,F051633,35.252,1508.05,sintetico_con_precio_mensual
D0000295,V000050,P001,F051628,146.142,659.00,sintetico_con_precio_mensual
D0000296,V000050,P006,F051629,2394.98,1522.99,sintetico_con_precio_mensual
D0000297,V000050,P007,F051630,450.785,1265.99,sintetico_con_precio_mensual
D0000298,V000050,P002,F051631,3388.336,1276.53,sintetico_con_precio_mensual
D0000299,V000050,P004,F051632,100.257,1400.00,sintetico_con_precio_mensual
D0000300,V000050,P003,F051633,950.186,1508.05,sintetico_con_precio_mensual
D0000301,V000051,P001,F051628,2290.377,659.00,sintetico_con_precio_mensual
D0000302,V000051,P006,F051629,21746.347,1522.99,sintetico_con_precio_mensual
D0000303,V000051,P007,F051630,53762.486,1265.99,sintetico_con_precio_mensual
D0000304,V000051,P002,F051631,2022.813,1276.53,sintetico_con_precio_mensual
D0000305,V000051,P004,F051632,256.758,1400.00,sintetico_con_precio_mensual
D0000306,V000051,P003,F051633,11156.796,1508.05,sintetico_con_precio_mensual
D0000307,V000052,P001,F051628,16077.71,659.00,sintetico_con_precio_mensual
D0000308,V000052,P006,F051629,10068.902,1522.99,sintetico_con_precio_mensual
D0000309,V000052,P007,F051630,8199.079,1265.99,sintetico_con_precio_mensual
D0000310,V000052,P002,F051631,7474.088,1276.53,sintetico_con_precio_mensual
D0000311,V000052,P004,F051632,308.939,,sintetico_con_precio_mensual
D0000312,V000052,P003,F051633,4706.906,1508.05,sintetico_con_precio_mensual
D0000313,V000053,P001,F051628,354.212,659.00,sintetico_con_precio_mensual
D0000314,V000053,P006,F051629,5425.996,1522.99,sintetico_con_precio_mensual
D0000315,V000053,P007,F051630,27398.351,1265.99,sintetico_con_precio_mensual
D0000316,V000053,P002,F051631,4778.112,1276.53,sintetico_con_precio_mensual
D0000317,V000053,P004,F051632,268.671,1400.00,sintetico_con_precio_mensual
D0000318,V000053,P003,F051633,2755.939,1508.05,sintetico_con_precio_mensual
D0000319,V000054,P001,F051628,561.396,659.00,sintetico_con_precio_mensual
D0000320,V000054,P006,F051629,13203.109,1522.99,sintetico_con_precio_mensual
D0000321,V000054,P007,F051630,9914.376,1265.99,sintetico_con_precio_mensual
D0000322,V000054,P002,F051631,692.64,1276.53,sintetico_con_precio_mensual
D0000323,V000054,P004,F051632,47.33,1400.00,sintetico_con_precio_mensual
D0000324,V000054,P003,F051633,2076.453,1508.05,sintetico_con_precio_mensual
D0000325,V000055,P001,F051628,2430.763,659.00,sintetico_con_precio_mensual
D0000326,V000055,P006,F051629,5589.788,1522.99,sintetico_con_precio_mensual
D0000327,V000055,P007,F051630,1303.401,1265.99,sintetico_con_precio_mensual
D0000328,V000055,P002,F051631,644.768,1276.53,sintetico_con_precio_mensual
D0000329,V000055,P004,F051632,43.419,1400.00,sintetico_con_precio_mensual
D0000330,V000055,P003,F051633,2462.467,1508.05,sintetico_con_precio_mensual
D0000331,V000056,P001,F051628,6536.384,659.00,sintetico_con_precio_mensual
D0000332,V000056,P006,F051629,9193.884,1522.99,sintetico_con_precio_mensual
D0000333,V000056,P007,F051630,708.378,1265.99,sintetico_con_precio_mensual
D0000334,V000056,P002,F051631,3198.529,1276.53,sintetico_con_precio_mensual
D0000335,V000056,P004,F051632,257.866,1400.00,sintetico_con_precio_mensual
D0000336,V000056,P003,F051633,6245.531,1508.05,sintetico_con_precio_mensual
D0000337,V000057,P001,F051628,117.774,659.00,sintetico_con_precio_mensual
D0000338,V000057,P006,F051629,7297.135,1522.99,sintetico_con_precio_mensual
D0000339,V000057,P007,F051630,31836.587,1265.99,sintetico_con_precio_mensual
D0000340,V000057,P002,F051631,3934.56,1276.53,sintetico_con_precio_mensual
D0000341,V000057,P004,F051632,103.137,1400.00,sintetico_con_precio_mensual
D0000342,V000057,P003,F051633,2717.462,1508.05,sintetico_con_precio_mensual
D0000343,V000058,P001,F051628,2202.619,659.00,sintetico_con_precio_mensual
D0000344,V000058,P006,F051629,1135.06,1522.99,sintetico_con_precio_mensual
D0000345,V000058,P007,F051630,11364.442,1265.99,sintetico_con_precio_mensual
D0000346,V000058,P002,F051631,623.465,1276.53,sintetico_con_precio_mensual
D0000347,V000058,P004,F051632,288.902,1400.00,sintetico_con_precio_mensual
D0000348,V000058,P003,F051633,1709.578,1508.05,sintetico_con_precio_mensual
D0000349,V000059,P001,F051628,10132.035,659.00,sintetico_con_precio_mensual
D0000350,V000059,P006,F051629,3020.264,1522.99,sintetico_con_precio_mensual
D0000351,V000059,P007,F051630,478.324,1265.99,sintetico_con_precio_mensual
D0000352,V000059,P002,F051631,380.664,1276.53,sintetico_con_precio_mensual
